Manufacturer,Permit Number,VIN NUMBER,Annual Total of Disengagements,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,ANNUAL TOTAL
APOLLO AUTONOMOUS DRIVING USA LLC,AVDT006,3LN6L5LU2HR615153,0,876.1,1073,873.3,1257.5,1147.2,679.4,944.7,1264.8,1994.4,2343.7,2088.7,1739.9,16282.7
APOLLO AUTONOMOUS DRIVING USA LLC,AVDT006,2C4RC1N77LR190366,0,78.1,349.9,546,653.4,687.8,467.2,771.6,293.1,0,0,0,0,3847.1
APOLLO AUTONOMOUS DRIVING USA LLC,AVDT006,2C4RC1N71LR252232,0,0,0,0,0,191.7,0,0,0,0,0,0,0,191.7
APOLLO AUTONOMOUS DRIVING USA LLC,AVDT006,3LN6L2LU4GR629715,0,871.08,523.69,0,0,57.6,0,0,0,0,0,0,0,1452.37
CRUISE LLC,AVDT005,5G21A6P05L4100180,0,577.59,1292.89,1295.51,1378.75,1600.82,1413.41,983.85,476.72,414.13,819.56,0,0,10253.23
CRUISE LLC,AVDT005,5G21A6P02L4100041,0,142.04,1326.31,1190.5,1390.44,1057.34,1314.97,1055.3,546.27,144.29,448.46,438.48,340.86,9395.26
CRUISE LLC,AVDT005,5G21A6P01L4100029,0,456.79,726.01,1310.73,1173.56,1467.03,1580.4,1116.24,423.1,323.3,635.24,129.62,0,9342.02
CRUISE LLC,AVDT005,5G21A6P00L4100040,0,507.62,1386.99,1499.05,1469.18,1500.41,1336.06,984.52,77.78,387.7,275.33,0,0,9424.64
CRUISE LLC,AVDT005,5G21A6P07L4100116,0,641.24,1335.12,1142.63,944.19,398.21,848.74,1159.21,541.29,600.74,341.15,878.74,255.31,9086.57
CRUISE LLC,AVDT005,5G21A6P0XL4100160,0,513.21,1240.7,1300.42,1523.77,1103.36,1341.56,860.09,411.75,318.37,573.34,0,0,9186.57
CRUISE LLC,AVDT005,5G21A6P06L4100026,0,518.09,1406.3,1336.47,1404.75,1499.91,1207.94,802.64,330.25,350.68,355.59,0,0,9212.62
CRUISE LLC,AVDT005,5G21A6P06L4100060,0,220.41,1156.79,1270.53,1169.89,1639.83,1417.88,1124.71,458.1,206.53,363.89,0,0,9028.56
CRUISE LLC,AVDT005,5G21A6P02L4100122,0,387.83,1026.57,427.47,1549.02,1570.09,1275.75,1006.71,490.89,393.45,839.12,0,0,8966.9
CRUISE LLC,AVDT005,5G21A6P09L4100120,0,91.9,704.73,1199.3,1417.81,1490.41,1101.8,425.24,391.39,311.37,636.95,715.62,286.88,8773.4
CRUISE LLC,AVDT005,5G21A6P06L4100186,0,418.1,1090.86,1383.46,1287.67,1165.21,1513.4,920.55,615.33,130.33,0,0,0,8524.91
CRUISE LLC,AVDT005,5G21A6P09L4100179,0,614.46,1252.35,1188.15,725.25,1185.24,1470.46,263.81,139.74,390.22,247.86,0,0,7477.54
CRUISE LLC,AVDT005,5G21A6P06L4100169,0,0,279.6,1326.36,1344.1,1657.9,1249.61,880.33,137.02,261.73,366.87,0,0,7503.52
CRUISE LLC,AVDT005,5G21A6P07L4100066,0,0,0,391.84,1350.16,919.45,1184.41,931.69,225.86,141.5,603.22,1067.34,322.44,7137.91
CRUISE LLC,AVDT005,5G21A6P03L4100159,0,0,0,603.57,1234.19,782.54,1253.82,555.79,345.63,424.96,658.84,696.36,270.91,6826.61
CRUISE LLC,AVDT005,5G21A6P00L4100118,0,0,0,0,675.69,1527.63,1423.53,843.6,476.28,424.51,493.06,1005.27,138.03,7007.6
CRUISE LLC,AVDT005,5G21A6P01L4100189,0,0,40.17,1195.24,997.72,1368.18,1319.27,1096.17,230.95,240.15,224.94,0,99.4,6812.19
CRUISE LLC,AVDT005,5G21A6P05L4100115,0,0,0,381.94,1347.43,1160.28,591.9,837.13,453.57,442.43,537.97,525.79,382.4,6660.84
CRUISE LLC,AVDT005,5G21A6P08L4100061,0,0,0,0,1500.09,1658.05,1187.42,786.65,572.43,198.82,575.37,147.34,0,6626.17
CRUISE LLC,AVDT005,5G21A6P0XL4100014,0,0,0,0,1320.9,1455.65,1629.83,461.57,249.42,138.19,372.52,867.22,75.85,6571.15
CRUISE LLC,AVDT005,5G21A6P08L4100173,0,0,0,0,579.04,1541.32,1530.95,994.69,488.74,468.13,741.43,103.46,0,6447.76
CRUISE LLC,AVDT005,5G21A6P00N4121604,0,0,0,0,0,584.87,1311.84,834.61,501.92,470.49,641.96,865.6,858.37,6069.66
CRUISE LLC,AVDT005,5G21A6P02L4100184,0,0,191.95,1427.19,1151.14,1116.93,76.42,929.06,307.03,407.56,624.78,0,0,6232.06
CRUISE LLC,AVDT005,5G21A6P00L4100121,0,0,0,0,873.45,1541.78,1529.73,870.85,220.55,568.24,387.26,0,0,5991.86
CRUISE LLC,AVDT005,5G21A6P05L4100048,0,0,0,0,401.34,913.11,1428.04,692.93,623.9,256.69,562.44,872.76,234.38,5985.59
CRUISE LLC,AVDT005,5G21A6P02L4100069,0,0,0,353.46,1267.1,1240.79,1450.51,1121.42,332.16,68.32,4.76,0,0,5838.52
