SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019
40,3,6,1,0,Alabama,Alabama,4785514,4799642,4816632,4831586,4843737,4854803,4866824,4877989,4891628,4907965
50,3,6,1,1,Alabama,Autauga County,54761,55229,54970,54747,54922,54903,55302,55448,55533,55769
50,3,6,1,3,Alabama,Baldwin County,183121,186579,190203,194978,199306,203101,207787,212737,218071,223565
50,3,6,1,5,Alabama,Barbour County,27325,27344,27172,26946,26768,26300,25828,25169,24887,24657
50,3,6,1,7,Alabama,Bibb County,22858,22736,22657,22510,22541,22553,22590,22532,22300,22313
50,3,6,1,9,Alabama,Blount County,57372,57561,57585,57630,57536,57535,57487,57801,57770,57840
50,3,6,1,11,Alabama,Bullock County,10876,10680,10610,10557,10668,10404,10397,10181,10165,10144
50,3,6,1,13,Alabama,Butler County,20933,20867,20672,20359,20332,20168,20040,19911,19675,19501
50,3,6,1,15,Alabama,Calhoun County,118420,117767,117227,116528,115991,115550,115036,114746,114298,114070
50,3,6,1,17,Alabama,Chambers County,34105,34016,34088,34125,33964,33991,33742,33716,33570,33244
50,3,6,1,19,Alabama,Cherokee County,25968,25993,25961,26022,25900,25739,25769,25822,26035,26254
50,3,6,1,21,Alabama,Chilton County,43645,43682,43572,43617,43751,43693,43854,44085,44084,44313
50,3,6,1,23,Alabama,Choctaw County,13848,13608,13565,13401,13322,13237,13049,12923,12810,12577
50,3,6,1,25,Alabama,Clarke County,25767,25589,25161,25131,24873,24711,24342,24083,23965,23651
50,3,6,1,27,Alabama,Clay County,13897,13687,13433,13406,13443,13415,13393,13355,13301,13265
50,3,6,1,29,Alabama,Cleburne County,15004,14928,14889,14974,15029,14923,14871,14924,15047,14952
50,3,6,1,31,Alabama,Coffee County,50204,50449,51159,50709,50693,51004,51281,51943,52097,52639
50,3,6,1,33,Alabama,Colbert County,54527,54545,54578,54544,54484,54439,54483,54682,54970,55241
50,3,6,1,35,Alabama,Conecuh County,13234,13194,13043,12908,12674,12677,12495,12431,12264,12055
50,3,6,1,37,Alabama,Coosa County,11779,11483,11343,11252,11037,10935,10812,10724,10619,10677
50,3,6,1,39,Alabama,Covington County,37810,38023,37809,37820,37766,37566,37400,37077,36993,37082
50,3,6,1,41,Alabama,Crenshaw County,13868,13894,13914,13847,13851,13851,13911,13871,13855,13811
50,3,6,1,43,Alabama,Cullman County,80456,80419,80292,80704,81081,81771,82434,82830,83300,83644
50,3,6,1,45,Alabama,Dale County,50396,50134,50313,49807,49465,49428,49476,49467,49268,49294
50,3,6,1,47,Alabama,Dallas County,43855,43254,42794,41981,41560,40947,40105,39263,38270,37182
50,3,6,1,49,Alabama,DeKalb County,71133,71335,70913,70881,70963,71065,71116,71441,71430,71506
50,3,6,1,51,Alabama,Elmore County,79558,80005,80211,80557,80563,80903,81258,81452,81189,81575
50,3,6,1,53,Alabama,Escambia County,38352,38211,38029,37775,37749,37676,37500,37010,36515,36569
50,3,6,1,55,Alabama,Etowah County,104440,104356,104271,103891,103417,103033,102931,103076,102766,102460
50,3,6,1,57,Alabama,Fayette County,17232,17061,16955,16837,16784,16711,16581,16478,16451,16279
50,3,6,1,59,Alabama,Franklin County,31746,31776,31699,31566,31572,31532,31674,31670,31495,31587
50,3,6,1,61,Alabama,Geneva County,26778,26758,26928,26688,26605,26645,26497,26404,26296,26309
50,3,6,1,63,Alabama,Greene County,8990,8903,8849,8749,8585,8509,8485,8312,8212,8104
50,3,6,1,65,Alabama,Hale County,15745,15360,15366,15249,15047,15016,14845,14812,14773,14669
50,3,6,1,67,Alabama,Henry County,17293,17377,17152,17128,17074,17097,17062,17105,17100,17125
50,3,6,1,69,Alabama,Houston County,101800,102509,103410,103691,104216,104326,104355,104472,104943,106240
50,3,6,1,71,Alabama,Jackson County,53207,53240,53107,52986,52592,52229,52058,51865,51649,51672
50,3,6,1,73,Alabama,Jefferson County,658230,658175,658183,659434,660185,660717,660507,659892,659672,658539
50,3,6,1,75,Alabama,Lamar County,14496,14292,14250,14214,14071,13931,13926,13885,13878,13817
50,3,6,1,77,Alabama,Lauderdale County,92738,92615,92687,92738,93049,92524,92521,92701,92733,93028
50,3,6,1,79,Alabama,Lawrence County,34314,34026,33782,33553,33423,33116,33196,33035,32905,32851
50,3,6,1,81,Alabama,Lee County,140815,144194,148670,151943,154682,157162,159446,161808,164206,165015
50,3,6,1,83,Alabama,Limestone County,83168,85553,87336,88931,90622,91596,92896,94144,96199,99136
50,3,6,1,85,Alabama,Lowndes County,11294,11144,10857,10666,10497,10350,10245,10100,9969,9726
50,3,6,1,87,Alabama,Macon County,21515,21299,20625,20043,19670,19331,19077,18828,18320,18065
50,3,6,1,89,Alabama,Madison County,336114,339623,342823,346764,349973,353194,356985,362061,367386,372547
50,3,6,1,91,Alabama,Marengo County,20955,20663,20378,20123,19990,19772,19536,19411,19093,18919
50,3,6,1,93,Alabama,Marion County,30822,30661,30495,30236,30215,30137,29958,29825,29776,29826
50,3,6,1,95,Alabama,Marshall County,93119,93899,94264,94358,94262,94588,95123,95589,96230,96751
50,3,6,1,97,Alabama,Mobile County,413328,413126,413893,414025,414298,414654,415169,414209,414275,413516
50,3,6,1,99,Alabama,Monroe County,23004,22799,22582,22174,21927,21720,21553,21294,21035,20689
50,3,6,1,101,Alabama,Montgomery County,229498,229218,228923,228261,227647,227420,227398,227514,226631,226074
50,3,6,1,103,Alabama,Morgan County,119642,120058,120148,119625,119496,119316,119090,118940,119216,119630
50,3,6,1,105,Alabama,Perry County,10564,10452,10166,10005,9809,9650,9538,9304,9049,8940
50,3,6,1,107,Alabama,Pickens County,19749,19357,19314,19309,20283,20788,20337,20224,19949,19940
50,3,6,1,109,Alabama,Pike County,32972,33031,33225,33728,33217,33518,33540,33441,33390,33034
50,3,6,1,111,Alabama,Randolph County,22937,22751,22541,22558,22362,22603,22515,22702,22742,22781
50,3,6,1,113,Alabama,Russell County,53327,54884,57549,59219,59310,58946,58290,57134,57933,58098
50,3,6,1,115,Alabama,St. Clair County,83587,83992,84779,85831,86014,86569,87342,87985,88842,89735
50,3,6,1,117,Alabama,Shelby County,196036,197968,200949,204088,206346,209047,211538,213854,215877,218176
50,3,6,1,119,Alabama,Sumter County,13730,13491,13444,13398,13276,13212,12973,12756,12661,12358
50,3,6,1,121,Alabama,Talladega County,82175,81875,82170,81604,81550,81168,80598,80192,80219,80226
50,3,6,1,123,Alabama,Tallapoosa County,41480,41414,41060,41039,40898,40628,40607,40624,40550,40337
