 ,,,,,,,,,,,,,,,
STATE MOTOR-VEHICLE REGISTRATIONS - 2015,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
JANUARY 2017,,,,,,,,,,,,,,,TABLE MV-1
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,AUTOMOBILES,,,BUSES,,,TRUCKS,,,MOTORCYCLES,,,ALL MOTOR VEHICLES,,
STATE,PRIVATE AND,,,,,,,,,,,,,,
,COMMERCIAL,PUBLICLY,,PRIVATE AND,PUBLICLY,,PRIVATE AND,PUBLICLY,,PRIVATE AND,PUBLICLY,,PRIVATE AND,PUBLICLY,
,(INCLUDING,OWNED,TOTAL,COMMERCIAL,OWNED,TOTAL,COMMERCIAL,OWNED,TOTAL,COMMERCIAL,OWNED (1),TOTAL,COMMERCIAL,OWNED,TOTAL
,TAXICABS),,,,,,,,,,,,,,
Alabama,"2,262,612 ","15,650 ","2,278,262 ","5,595 ",132 ,"5,727 ","2,975,846 ","25,470 ","3,001,316 ","114,178 ",936 ,"115,114 ","5,358,231 ","42,188 ","5,400,419 "
Alaska (2),"188,848 ","4,500 ","193,348 ","3,231 ",210 ,"3,441 ","568,936 ","17,444 ","586,380 ","31,945 ",8 ,"31,953 ","792,960 ","22,162 ","815,122 "
Arizona,"2,311,630 ","21,104 ","2,332,734 ","13,765 ","7,284 ","21,049 ","3,073,975 ","41,751 ","3,115,726 ","161,137 ",1 ,"161,138 ","5,560,507 ","70,140 ","5,630,647 "
Arkansas,"931,252 ","16,537 ","947,789 ","11,112 ",701 ,"11,813 ","1,687,935 ","32,873 ","1,720,808 ","91,804 ",— ,"91,804 ","2,722,103 ","50,111 ","2,772,214 "
California ,"14,232,593 ","230,976 ","14,463,569 ","34,582 ","59,438 ","94,020 ","13,764,734 ","272,806 ","14,037,540 ","814,423 ","14,460 ","828,883 ","28,846,332 ","577,680 ","29,424,012 "
Colorado ,"1,807,666 ","14,504 ","1,822,170 ","6,044 ","6,622 ","12,666 ","2,946,346 ","32,784 ","2,979,130 ","191,206 ",— ,"191,206 ","4,951,262 ","53,910 ","5,005,172 "
Connecticut,"1,384,651 ","1,216 ","1,385,867 ","12,551 ",174 ,"12,725 ","1,351,735 ","4,906 ","1,356,641 ","86,511 ",20 ,"86,531 ","2,835,448 ","6,316 ","2,841,764 "
Delaware ,"435,350 ","2,681 ","438,031 ","3,538 ",827 ,"4,365 ","489,557 ","4,184 ","493,741 ","28,179 ",— ,"28,179 ","956,624 ","7,692 ","964,316 "
Dist. of Col. ,"183,538 ","17,028 ","200,566 ",891 ,"3,678 ","4,569 ","99,240 ","14,140 ","113,380 ","3,962 ",452 ,"4,414 ","287,631 ","35,298 ","322,929 "
Florida ,"7,625,692 ","109,368 ","7,735,060 ","26,156 ","33,969 ","60,125 ","7,608,030 ","129,039 ","7,737,069 ","570,172 ","2,582 ","572,754 ","15,830,050 ","274,958 ","16,105,008 "
Georgia ,"3,469,663 ","53,956 ","3,523,619 ","12,363 ","30,179 ","42,542 ","4,294,116 ","76,934 ","4,371,050 ","199,552 ",858 ,"200,410 ","7,975,694 ","161,927 ","8,137,621 "
Hawaii,"514,962 ","7,845 ","522,807 ","2,023 ",876 ,"2,899 ","668,057 ","14,752 ","682,809 ","33,431 ",373 ,"33,804 ","1,218,473 ","23,846 ","1,242,319 "
Idaho,"624,560 ","1,880 ","626,440 ","2,774 ",504 ,"3,278 ","1,150,397 ","8,269 ","1,158,666 ","65,604 ",31 ,"65,635 ","1,843,335 ","10,684 ","1,854,019 "
Illinois ,"4,734,188 ","41,226 ","4,775,414 ","34,556 ",217 ,"34,773 ","5,380,864 ","57,993 ","5,438,857 ","346,210 ",— ,"346,210 ","10,495,818 ","99,436 ","10,595,254 "
Indiana (3),"2,333,284 ","2,516 ","2,335,800 ","8,320 ","13,485 ","21,805 ","3,455,001 ","9,138 ","3,464,139 ","223,370 ",— ,"223,370 ","6,019,975 ","25,139 ","6,045,114 "
Iowa ,"1,313,761 ","12,439 ","1,326,200 ","3,847 ","5,339 ","9,186 ","2,089,114 ","22,549 ","2,111,663 ","189,519 ",330 ,"189,849 ","3,596,241 ","40,657 ","3,636,898 "
Kansas,"979,717 ","12,300 ","992,017 ","1,639 ","2,279 ","3,918 ","1,520,456 ","22,140 ","1,542,596 ","96,325 ",— ,"96,325 ","2,598,137 ","36,719 ","2,634,856 "
Kentucky,"1,680,771 ","33,188 ","1,713,959 ","1,292 ","9,188 ","10,480 ","2,267,668 ","48,857 ","2,316,525 ","110,938 ",80 ,"111,018 ","4,060,669 ","91,313 ","4,151,982 "
Louisiana,"1,409,821 ","28,747 ","1,438,568 ","22,185 ","6,776 ","28,961 ","2,269,239 ","50,588 ","2,319,827 ","113,599 ",477 ,"114,076 ","3,814,844 ","86,588 ","3,901,432 "
Maine ,"415,262 ","4,298 ","419,560 ","1,433 ","3,022 ","4,455 ","617,305 ","8,017 ","625,322 ","54,663 ",1 ,"54,664 ","1,088,663 ","15,338 ","1,104,001 "
Maryland,"1,963,565 ","30,371 ","1,993,936 ","9,136 ","4,102 ","13,238 ","1,961,489 ","40,184 ","2,001,673 ","126,235 ",76 ,"126,311 ","4,060,425 ","74,733 ","4,135,158 "
Massachusetts (2),"2,349,659 ","24,564 ","2,374,223 ","10,755 ","1,029 ","11,784 ","2,483,352 ","32,413 ","2,515,765 ","167,748 ",81 ,"167,829 ","5,011,514 ","58,087 ","5,069,601 "
Michigan,"3,350,242 ","26,440 ","3,376,682 ","3,368 ","5,281 ","8,649 ","4,606,397 ","44,915 ","4,651,312 ","257,465 ",— ,"257,465 ","8,217,472 ","76,636 ","8,294,108 "
Minnesota ,"2,062,252 ","17,591 ","2,079,843 ","13,653 ","5,591 ","19,244 ","2,903,796 ","29,826 ","2,933,622 ","248,560 ",— ,"248,560 ","5,228,261 ","53,008 ","5,281,269 "
Mississippi ,"844,319 ","2,854 ","847,173 ","2,003 ","6,046 ","8,049 ","1,177,686 ","7,616 ","1,185,302 ","28,329 ",— ,"28,329 ","2,052,337 ","16,516 ","2,068,853 "
Missouri,"2,253,557 ","19,541 ","2,273,098 ","9,864 ","7,021 ","16,885 ","3,083,265 ","33,026 ","3,116,291 ","217,731 ",— ,"217,731 ","5,564,417 ","59,588 ","5,624,005 "
Montana ,"435,151 ",779 ,"435,930 ","4,425 ",159 ,"4,584 ","1,000,837 ","6,446 ","1,007,283 ","197,426 ",4 ,"197,430 ","1,637,839 ","7,388 ","1,645,227 "
Nebraska,"717,111 ","15,745 ","732,856 ","3,875 ",70 ,"3,945 ","1,160,821 ","27,739 ","1,188,560 ","55,912 ",23 ,"55,935 ","1,937,719 ","43,577 ","1,981,296 "
Nevada ,"1,009,483 ","8,051 ","1,017,534 ",482 ,"2,646 ","3,128 ","1,206,023 ","14,845 ","1,220,868 ","74,521 ",5 ,"74,526 ","2,290,509 ","25,547 ","2,316,056 "
New Hampshire,"530,943 ","4,245 ","535,188 ",590 ,"2,232 ","2,822 ","677,298 ","6,838 ","684,136 ","73,991 ",— ,"73,991 ","1,282,822 ","13,315 ","1,296,137 "
New Jersey ,"2,877,891 ","40,712 ","2,918,603 ","22,070 ","2,290 ","24,360 ","2,794,282 ","48,868 ","2,843,150 ","152,472 ",— ,"152,472 ","5,846,715 ","91,870 ","5,938,585 "
New Mexico,"659,911 ","8,036 ","667,947 ","4,977 ","1,262 ","6,239 ","1,064,167 ","21,844 ","1,086,011 ","63,248 ",— ,"63,248 ","1,792,303 ","31,142 ","1,823,445 "
New York ,"4,823,532 ","44,989 ","4,868,521 ","7,739 ","22,881 ","30,620 ","5,321,177 ","63,589 ","5,384,766 ","354,856 ",2 ,"354,858 ","10,507,304 ","131,461 ","10,638,765 "
North Carolina,"3,391,383 ","47,768 ","3,439,151 ","11,526 ","20,244 ","31,770 ","4,201,219 ","67,911 ","4,269,130 ","188,659 ",263 ,"188,922 ","7,792,787 ","136,186 ","7,928,973 "
North Dakota,"243,032 ","4,372 ","247,404 ",951 ,"1,868 ","2,819 ","588,530 ","13,042 ","601,572 ","38,994 ",14 ,"39,008 ","871,507 ","19,296 ","890,803 "
Ohio,"4,691,057 ","47,743 ","4,738,800 ","30,235 ","6,711 ","36,946 ","5,312,365 ","64,256 ","5,376,621 ","404,934 ",22 ,"404,956 ","10,438,591 ","118,732 ","10,557,323 "
Oklahoma  ,"1,149,328 ","7,278 ","1,156,606 ","1,930 ","1,275 ","3,205 ","1,684,404 ","15,204 ","1,699,608 ","129,092 ",1 ,"129,093 ","2,964,754 ","23,758 ","2,988,512 "
Oregon ,"1,408,029 ","24,876 ","1,432,905 ","7,571 ","8,433 ","16,004 ","1,988,237 ","42,028 ","2,030,265 ","127,557 ",751 ,"128,308 ","3,531,394 ","76,088 ","3,607,482 "
Pennsylvania,"4,630,273 ","50,225 ","4,680,498 ","52,502 ","2,615 ","55,117 ","5,400,602 ","69,087 ","5,469,689 ","392,653 ",737 ,"393,390 ","10,476,030 ","122,664 ","10,598,694 "
Rhode Island ,"440,005 ","7,351 ","447,356 ","1,803 ",374 ,"2,177 ","385,887 ","7,926 ","393,813 ","31,651 ",100 ,"31,751 ","859,346 ","15,751 ","875,097 "
South Carolina,"1,727,108 ","56,896 ","1,784,004 ","5,324 ","12,366 ","17,690 ","2,168,206 ","76,510 ","2,244,716 ","115,769 ",472 ,"116,241 ","4,016,407 ","146,244 ","4,162,651 "
South Dakota ,"321,188 ","7,609 ","328,797 ",232 ,"2,608 ","2,840 ","637,389 ","17,344 ","654,733 ","95,278 ",641 ,"95,919 ","1,054,087 ","28,202 ","1,082,289 "
Tennessee ,"2,268,376 ","49,948 ","2,318,324 ","2,160 ","24,048 ","26,208 ","3,027,665 ","73,666 ","3,101,331 ","163,911 ","2,349 ","166,260 ","5,462,112 ","150,011 ","5,612,123 "
Texas ,"8,356,594 ","94,445 ","8,451,039 ","19,339 ","47,641 ","66,980 ","12,787,563 ","172,110 ","12,959,673 ","386,220 ",929 ,"387,149 ","21,549,716 ","315,125 ","21,864,841 "
Utah,"906,906 ","12,107 ","919,013 ","2,402 ","3,583 ","5,985 ","1,203,679 ","21,683 ","1,225,362 ","78,605 ",228 ,"78,833 ","2,191,592 ","37,601 ","2,229,193 "
Vermont,"249,641 ","3,218 ","252,859 ",673 ,497 ,"1,170 ","364,804 ","5,463 ","370,267 ","31,051 ",— ,"31,051 ","646,169 ","9,178 ","655,347 "
Virginia,"3,224,261 ","46,218 ","3,270,479 ","7,777 ","25,222 ","32,999 ","3,675,118 ","67,469 ","3,742,587 ","192,187 ",653 ,"192,840 ","7,099,343 ","139,562 ","7,238,905 "
Washington ,"2,773,088 ","68,160 ","2,841,248 ","4,891 ","16,932 ","21,823 ","3,526,344 ","99,667 ","3,626,011 ","236,384 ",1 ,"236,385 ","6,540,707 ","184,760 ","6,725,467 "
West Virginia,"552,996 ","13,219 ","566,215 ",157 ,"3,124 ","3,281 ","959,909 ","25,174 ","985,083 ","57,433 ","1,333 ","58,766 ","1,570,495 ","42,850 ","1,613,345 "
Wisconsin ,"2,154,656 ","34,676 ","2,189,332 ","14,049 ",46 ,"14,095 ","2,887,042 ","51,080 ","2,938,122 ","324,630 ",402 ,"325,032 ","5,380,377 ","86,204 ","5,466,581 "
Wyoming ,"206,305 ",579 ,"206,884 ","1,285 ",169 ,"1,454 ","571,696 ","3,945 ","575,641 ","31,006 ",4 ,"31,010 ","810,292 ","4,697 ","814,989 "
Total,"111,411,663 ","1,452,565 ","112,864,228 ","465,641 ","423,266 ","888,907 ","139,089,800 ","2,166,348 ","141,256,148 ","8,571,236 ","29,700 ","8,600,936 ","259,538,340 ","4,071,879 ","263,610,219 "
"Sums may not equal to totals due to rounding.
(1) Many states do not maintain records on publicly owned motorcycles.  Total may not represent an accurate count of the total number of publicly-owned motorcycles.
(2) Estimated by FHWA based on State reported data and data from secondary sources. 
(3) State did not provide data. Estimated by FHWA.
",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
