 ,,,,,,,,,,,,,,,
STATE MOTOR-VEHICLE REGISTRATIONS - 2016,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
November 2017,,,,,,,,,,,,,,,TABLE MV-1
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,AUTOMOBILES,,,BUSES,,,TRUCKS,,,MOTORCYCLES,,,ALL MOTOR VEHICLES,,
STATE,PRIVATE AND,,,,,,,,,,,,,,
,COMMERCIAL,PUBLICLY,,PRIVATE AND,PUBLICLY,,PRIVATE AND,PUBLICLY,,PRIVATE AND,PUBLICLY,,PRIVATE AND,PUBLICLY,
,(INCLUDING,OWNED (1),TOTAL,COMMERCIAL,OWNED (1),TOTAL,COMMERCIAL,OWNED (1),TOTAL,COMMERCIAL,OWNED (1),TOTAL,COMMERCIAL,OWNED (1),TOTAL
,TAXICABS),,,,,,,,,,,,,,
Alabama,"2,239,705 ","44,738 ","2,284,443 ","6,107 ",131 ,"6,238 ","3,002,931 ","64,986 ","3,067,917 ","108,767 ",936 ,"109,703 ","5,357,510 ","110,791 ","5,468,301 "
Alaska (2),"178,860 ","4,399 ","183,259 ","7,529 ",590 ,"8,119 ","553,730 ","17,557 ","571,287 ","31,942 ",7 ,"31,949 ","772,061 ","22,553 ","794,614 "
Arizona,"2,357,093 ","20,869 ","2,377,962 ","1,475 ","7,541 ","9,016 ","3,190,517 ","42,813 ","3,233,330 ","166,582 ",1 ,"166,583 ","5,715,667 ","71,224 ","5,786,891 "
Arkansas,"929,740 ","12,864 ","942,604 ","11,209 ",722 ,"11,931 ","1,735,726 ","27,039 ","1,762,765 ","90,838 ",— ,"90,838 ","2,767,513 ","40,625 ","2,808,138 "
California ,"14,526,096 ","242,296 ","14,768,392 ","34,994 ","63,628 ","98,622 ","14,223,347 ","288,566 ","14,511,913 ","827,634 ","14,472 ","842,106 ","29,612,071 ","608,962 ","30,221,033 "
Colorado ,"1,790,622 ","17,155 ","1,807,777 ","5,935 ","6,836 ","12,771 ","3,065,910 ","39,291 ","3,105,201 ","190,531 ",61 ,"190,592 ","5,052,998 ","63,343 ","5,116,341 "
Connecticut (2),"1,351,171 ","1,210 ","1,352,381 ","12,551 ",36 ,"12,587 ","1,385,215 ","5,128 ","1,390,343 ","86,511 ",20 ,"86,531 ","2,835,448 ","6,394 ","2,841,842 "
Delaware ,"445,444 ","1,563 ","447,007 ","3,863 ",425 ,"4,288 ","521,373 ","3,014 ","524,387 ","28,158 ",— ,"28,158 ","998,838 ","5,002 ","1,003,840 "
Dist. of Col. ,"190,176 ","16,657 ","206,833 ",989 ,"3,693 ","4,682 ","106,585 ","14,564 ","121,149 ","3,972 ",464 ,"4,436 ","301,722 ","35,378 ","337,100 "
Florida ,"7,745,321 ","109,929 ","7,855,250 ","25,356 ","34,452 ","59,808 ","7,968,659 ","133,952 ","8,102,611 ","580,002 ","2,646 ","582,648 ","16,319,338 ","280,979 ","16,600,317 "
Georgia ,"3,485,821 ","52,359 ","3,538,180 ","12,101 ","25,386 ","37,487 ","4,385,246 ","76,475 ","4,461,721 ","201,508 ",883 ,"202,391 ","8,084,676 ","155,103 ","8,239,779 "
Hawaii,"508,549 ","7,995 ","516,544 ","1,774 ","1,295 ","3,069 ","665,951 ","15,018 ","680,969 ","30,768 ",378 ,"31,146 ","1,207,042 ","24,686 ","1,231,728 "
Idaho,"605,599 ","2,303 ","607,902 ","3,184 ",693 ,"3,877 ","1,154,988 ","9,539 ","1,164,527 ","65,894 ",45 ,"65,939 ","1,829,665 ","12,580 ","1,842,245 "
Illinois ,"4,484,546 ","40,163 ","4,524,709 ","34,751 ",185 ,"34,936 ","5,342,899 ","59,831 ","5,402,730 ","314,807 ",— ,"314,807 ","10,177,003 ","100,179 ","10,277,182 "
Indiana (3),"2,327,229 ","2,943 ","2,330,172 ","7,228 ","13,499 ","20,727 ","3,556,047 ","9,981 ","3,566,028 ","223,566 ",37 ,"223,603 ","6,114,070 ","26,460 ","6,140,530 "
Iowa ,"1,291,027 ","12,104 ","1,303,131 ","3,835 ","5,339 ","9,174 ","2,148,625 ","22,926 ","2,171,551 ","192,104 ",330 ,"192,434 ","3,635,591 ","40,699 ","3,676,290 "
Kansas,"976,261 ","4,098 ","980,359 ","3,295 ","2,280 ","5,575 ","1,557,827 ","9,728 ","1,567,555 ","96,205 ",42 ,"96,247 ","2,633,588 ","16,148 ","2,649,736 "
Kentucky,"1,680,846 ","32,744 ","1,713,590 ","1,358 ","9,201 ","10,559 ","2,344,262 ","49,729 ","2,393,991 ","106,569 ",79 ,"106,648 ","4,133,035 ","91,753 ","4,224,788 "
Louisiana,"1,395,694 ","29,655 ","1,425,349 ","22,185 ","7,003 ","29,188 ","2,283,366 ","53,460 ","2,336,826 ","113,599 ",— ,"113,599 ","3,814,844 ","90,118 ","3,904,962 "
Maine ,"405,063 ","4,166 ","409,229 ","1,328 ","3,021 ","4,349 ","633,559 ","8,163 ","641,722 ","52,373 ",1 ,"52,374 ","1,092,323 ","15,351 ","1,107,674 "
Maryland,"1,946,027 ","29,994 ","1,976,021 ","15,047 ","7,754 ","22,801 ","2,015,106 ","41,009 ","2,056,115 ","123,860 ",76 ,"123,936 ","4,100,040 ","78,833 ","4,178,873 "
Massachusetts (3),"2,281,877 ","23,594 ","2,305,471 ","10,755 ","1,024 ","11,779 ","2,551,134 ","33,346 ","2,584,480 ","167,748 ",81 ,"167,829 ","5,011,514 ","58,045 ","5,069,559 "
Michigan,"3,223,117 ","25,242 ","3,248,359 ","3,368 ","5,288 ","8,656 ","4,772,452 ","46,777 ","4,819,229 ","256,651 ",— ,"256,651 ","8,255,588 ","77,307 ","8,332,895 "
Minnesota ,"2,064,532 ","17,191 ","2,081,723 ","13,588 ","5,591 ","19,179 ","2,997,572 ","30,466 ","3,028,038 ","229,377 ",— ,"229,377 ","5,305,069 ","53,248 ","5,358,317 "
Mississippi ,"837,962 ","2,775 ","840,737 ","2,069 ","6,019 ","8,088 ","1,182,517 ","7,641 ","1,190,158 ","28,239 ",— ,"28,239 ","2,050,787 ","16,435 ","2,067,222 "
Missouri,"2,228,930 ","18,984 ","2,247,914 ","27,446 ",123 ,"27,569 ","3,221,609 ","33,853 ","3,255,462 ","153,580 ",— ,"153,580 ","5,631,565 ","52,960 ","5,684,525 "
Montana ,"440,423 ",778 ,"441,201 ","4,491 ",143 ,"4,634 ","1,051,940 ","6,662 ","1,058,602 ","290,291 ",4 ,"290,295 ","1,787,145 ","7,587 ","1,794,732 "
Nebraska,"685,275 ","15,002 ","700,277 ","13,414 ",38 ,"13,452 ","1,155,178 ","27,499 ","1,182,677 ","55,340 ",20 ,"55,360 ","1,909,207 ","42,559 ","1,951,766 "
Nevada ,"1,039,332 ","8,030 ","1,047,362 ",482 ,"2,646 ","3,128 ","1,258,326 ","15,281 ","1,273,607 ","74,557 ",5 ,"74,562 ","2,372,697 ","25,962 ","2,398,659 "
New Hampshire,"525,365 ","4,126 ","529,491 ",566 ,"2,232 ","2,798 ","705,160 ","7,015 ","712,175 ","78,218 ",— ,"78,218 ","1,309,309 ","13,373 ","1,322,682 "
New Jersey ,"2,823,062 ","24,819 ","2,847,881 ","22,769 ","2,280 ","25,049 ","2,882,053 ","34,913 ","2,916,966 ","151,101 ",— ,"151,101 ","5,878,985 ","62,012 ","5,940,997 "
New Mexico,"653,178 ","8,019 ","661,197 ","6,076 ",207 ,"6,283 ","1,072,069 ","22,535 ","1,094,604 ","61,877 ",— ,"61,877 ","1,793,200 ","30,761 ","1,823,961 "
New York ,"4,868,791 ","22,125 ","4,890,916 ","73,771 ","7,009 ","80,780 ","5,716,772 ","41,153 ","5,757,925 ","392,763 ",8 ,"392,771 ","11,052,097 ","70,295 ","11,122,392 "
North Carolina,"3,498,169 ","48,194 ","3,546,363 ","12,065 ","20,460 ","32,525 ","4,425,918 ","70,219 ","4,496,137 ","195,336 ",282 ,"195,618 ","8,131,488 ","139,155 ","8,270,643 "
North Dakota,"238,964 ","4,374 ","243,338 ",970 ,"1,865 ","2,835 ","596,328 ","13,453 ","609,781 ","38,985 ",15 ,"39,000 ","875,247 ","19,707 ","894,954 "
Ohio,"4,648,574 ","45,373 ","4,693,947 ","34,203 ","6,641 ","40,844 ","5,478,824 ","64,328 ","5,543,152 ","408,088 ",26 ,"408,114 ","10,569,689 ","116,368 ","10,686,057 "
Oklahoma  ,"1,371,425 ","7,797 ","1,379,222 ","1,880 ","1,291 ","3,171 ","2,201,925 ","17,150 ","2,219,075 ","135,936 ",1 ,"135,937 ","3,711,166 ","26,239 ","3,737,405 "
Oregon ,"1,458,348 ","25,228 ","1,483,576 ","8,209 ","8,860 ","17,069 ","2,130,200 ","44,623 ","2,174,823 ","135,464 ",774 ,"136,238 ","3,732,221 ","79,485 ","3,811,706 "
Pennsylvania,"4,590,646 ","49,825 ","4,640,471 ","53,160 ","2,688 ","55,848 ","5,587,285 ","72,181 ","5,659,466 ","392,252 ",785 ,"393,037 ","10,623,343 ","125,479 ","10,748,822 "
Rhode Island ,"428,967 ","7,280 ","436,247 ","1,879 ",406 ,"2,285 ","398,255 ","8,304 ","406,559 ","31,034 ",103 ,"31,137 ","860,135 ","16,093 ","876,228 "
South Carolina,"1,754,908 ","85,449 ","1,840,357 ","5,408 ","12,305 ","17,713 ","2,234,416 ","113,832 ","2,348,248 ","117,633 ",472 ,"118,105 ","4,112,365 ","212,058 ","4,324,423 "
South Dakota ,"358,446 ","6,130 ","364,576 ",— ,"2,339 ","2,339 ","749,715 ","14,987 ","764,702 ","114,143 ",599 ,"114,742 ","1,222,304 ","24,055 ","1,246,359 "
Tennessee ,"2,295,987 ","51,819 ","2,347,806 ","2,892 ","25,150 ","28,042 ","3,088,978 ","77,136 ","3,166,114 ","165,507 ","2,454 ","167,961 ","5,553,364 ","156,559 ","5,709,923 "
Texas ,"8,193,715 ","93,539 ","8,287,254 ","18,647 ","48,050 ","66,697 ","12,861,711 ","175,585 ","13,037,296 ","374,018 ",901 ,"374,919 ","21,448,091 ","318,075 ","21,766,166 "
Utah,"929,767 ","10,837 ","940,604 ","2,417 ","3,569 ","5,986 ","1,267,677 ","20,392 ","1,288,069 ","82,425 ",198 ,"82,623 ","2,282,286 ","34,996 ","2,317,282 "
Vermont,"225,365 ","4,205 ","229,570 ",325 ,767 ,"1,092 ","347,063 ","7,249 ","354,312 ","30,976 ",— ,"30,976 ","603,729 ","12,221 ","615,950 "
Virginia,"3,196,419 ","46,101 ","3,242,520 ","7,920 ","25,287 ","33,207 ","3,764,157 ","69,377 ","3,833,534 ","191,135 ",685 ,"191,820 ","7,159,631 ","141,450 ","7,301,081 "
Washington ,"2,863,653 ","72,003 ","2,935,656 ","5,091 ","17,964 ","23,055 ","3,745,301 ","107,542 ","3,852,843 ","236,134 ",1 ,"236,135 ","6,850,179 ","197,510 ","7,047,689 "
West Virginia,"571,447 ","13,152 ","584,599 ",246 ,"3,078 ","3,324 ","1,029,705 ","26,107 ","1,055,812 ","59,733 ","1,357 ","61,090 ","1,661,131 ","43,694 ","1,704,825 "
Wisconsin ,"2,125,015 ","34,909 ","2,159,924 ","14,708 ",4 ,"14,712 ","3,000,490 ","53,944 ","3,054,434 ","334,950 ",409 ,"335,359 ","5,475,163 ","89,266 ","5,564,429 "
Wyoming ,"208,062 ","3,551 ","211,613 ","2,664 ","1,554 ","4,218 ","596,739 ","12,619 ","609,358 ","29,932 ",109 ,"30,041 ","837,397 ","17,833 ","855,230 "
Total,"111,490,611 ","1,470,655 ","112,961,266 ","567,573 ","408,588 ","976,161 ","143,913,338 ","2,268,938 ","146,182,276 ","8,649,613 ","29,767 ","8,679,380 ","264,621,135 ","4,177,948 ","268,799,083 "
"Sums may not equal to totals due to rounding.
1) Many states do not maintain records on publicly-owned  vehicles,. Total may not represent an accurate count of the total number of publicly-owned vehicles.
(2) Poor quality data; estimated by FHWA based on State reported data or data from secondary sources. 
(3) State did not provide data; estimated by FHWA based on prior year's data or data from secondary sources.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
