 ,,,,,,,,,,,,,,,
STATE MOTOR-VEHICLE REGISTRATIONS - 2019 ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
November 2020,,,,,,,,,,,,,,,TABLE MV-1
,,,,,,,,,,,,,,,
,AUTOMOBILES,,,BUSES,,,TRUCKS,,,MOTORCYCLES,,,ALL MOTOR VEHICLES,,
STATE,PRIVATE AND,,,,,,,,,,,,,,
,COMMERCIAL,PUBLICLY,,PRIVATE AND,PUBLICLY,,PRIVATE AND,PUBLICLY,,PRIVATE AND,PUBLICLY,,PRIVATE AND,PUBLICLY,
,(INCLUDING,OWNED (1),TOTAL,COMMERCIAL,OWNED (1),TOTAL,COMMERCIAL,OWNED (1),TOTAL,COMMERCIAL,OWNED (1),TOTAL,COMMERCIAL,OWNED (1),TOTAL
,TAXICABS),,,,,,,,,,,,,,
Alabama,"2,065,223 ","43,886 ","2,109,108 ","5,472 ",120 ,"5,592 ","2,997,393 ","68,385 ","3,065,778 ","106,762 ",968 ,"107,730 ","5,174,850 ","113,358 ","5,288,208 "
Alaska ,"174,496 "," 4,020 ","178,516 ","8,027 ", 618 ,"8,645 ","564,588 "," 15,396 ","579,985 ","28,121 ",8 ,"28,129 ","775,232 ","20,043 ","795,275 "
Arizona,"2,387,462 "," 18,496 ","2,405,959 ","1,426 "," 6,981 ","8,407 ","3,371,176 "," 36,532 ","3,407,708 ","160,482 ",4 ,"160,486 ","5,920,546 ","62,013 ","5,982,559 "
Arkansas,"874,634 ","12,013 ","886,647 ","11,321 ",711 ,"12,032 ","1,806,472 ","27,164 ","1,833,636 ","169,796 ",— ,"169,796 ","2,862,223 ","39,888 ","2,902,111 "
California ,"14,654,371 "," 240,541 ","14,894,912 ","34,408 "," 66,118 ","100,526 ","15,151,844 "," 291,611 ","15,443,454 ","794,223 ","14,154 ","808,377 ","30,634,846 ","612,424 ","31,247,270 "
Colorado ,"1,724,841 "," 16,377 ","1,741,218 ","5,669 "," 7,816 ","13,485 ","3,432,926 "," 38,899 ","3,471,825 ","185,737 ",138 ,"185,875 ","5,349,173 ","63,231 ","5,412,404 "
Connecticut (2),"1,260,063 ", 891 ,"1,260,954 ","11,697 ", 32 ,"11,729 ","1,515,486 "," 4,689 ","1,520,176 ","85,670 ",19 ,"85,689 ","2,872,916 ","5,632 ","2,878,548 "
Delaware ,"422,002 ","1,460 ","423,462 ","3,381 ",449 ,"3,830 ","558,415 ","2,908 ","561,323 ","28,312 ",— ,"28,312 ","1,012,110 ","4,817 ","1,016,927 "
Dist. of Col. ,"184,832 ","18,939 ","203,771 ","1,014 "," 4,389 ","5,403 ","119,453 ","17,485 ","136,938 ","3,822 ",529 ,"4,351 ","309,121 ","41,342 ","350,463 "
Florida ,"7,732,491 "," 108,698 ","7,841,189 ","24,660 "," 34,575 ","59,235 ","9,193,542 "," 148,486 ","9,342,028 ","588,622 ","2,645 ","591,267 ","17,539,315 ","294,405 ","17,833,720 "
Georgia ,"3,445,471 "," 54,049 ","3,499,520 ","12,059 "," 24,812 ","36,871 ","4,769,750 "," 84,441 ","4,854,190 ","203,094 ",891 ,"203,985 ","8,430,374 ","164,193 ","8,594,567 "
Hawaii,"492,034 "," 6,958 ","498,992 ","1,699 ","1,183 ","2,882 ","717,240 "," 13,391 ","730,631 ","39,480 ",376 ,"39,856 ","1,250,453 ","21,908 ","1,272,361 "
Idaho,"599,749 "," 2,421 ","602,170 ","3,296 ", 574 ,"3,870 ","1,273,404 "," 8,226 ","1,281,630 ","66,827 ",31 ,"66,858 ","1,943,276 ","11,252 ","1,954,528 "
Illinois (2),"4,286,622 "," 36,228 ","4,322,850 ","34,505 ", 165 ,"34,670 ","5,958,067 "," 61,558 ","6,019,625 ","314,802 ",— ,"314,802 ","10,593,996 ","97,951 ","10,691,947 "
Indiana ,"2,183,343 "," 2,636 ","2,185,979 ","6,873 "," 14,322 ","21,195 ","3,754,436 "," 9,569 ","3,764,005 ","252,258 ",22 ,"252,280 ","6,196,910 ","26,550 ","6,223,460 "
Iowa ,"1,210,633 "," 11,210 ","1,221,843 ","4,045 ","5,386 ","9,431 ","2,338,217 "," 24,220 ","2,362,437 ","192,284 ",333 ,"192,617 ","3,745,179 ","41,149 ","3,786,328 "
Kansas (2),"943,138 ","4,009 ","947,148 ","4,195 "," 2,377 ","6,572 ","1,626,575 ","9,715 ","1,636,289 ","92,280 ",48 ,"92,328 ","2,666,188 ","16,149 ","2,682,337 "
Kentucky,"1,638,625 "," 30,542 ","1,669,167 ","1,406 "," 9,397 ","10,803 ","2,539,934 "," 51,141 ","2,591,075 ","112,099 ",78 ,"112,177 ","4,292,064 ","91,159 ","4,383,223 "
Louisiana,"1,321,964 ","27,756 ","1,349,720 ","21,907 "," 7,554 ","29,461 ","2,329,410 ","52,955 ","2,382,365 ","41,200 ",— ,"41,200 ","3,714,481 ","88,265 ","3,802,746 "
Maine (2),"370,051 ","3,817 ","373,868 ","1,481 ","3,117 ","4,598 ","691,375 ","8,548 ","699,923 ","51,664 ",2 ,"51,666 ","1,114,571 ","15,485 ","1,130,056 "
Maryland,"1,841,711 "," 27,283 ","1,868,994 ","15,382 "," 7,674 ","23,056 ","2,157,863 "," 40,886 ","2,198,749 ","113,119 ",76 ,"113,195 ","4,128,075 ","75,919 ","4,203,994 "
Massachusetts (2)," 2,085,100 "," 3,574 "," 2,088,674 "," 13,519 ", 232 ," 13,751 "," 2,784,707 "," 11,139 "," 2,795,846 "," 162,989 ", - ," 162,989 "," 5,046,315 "," 14,945 "," 5,061,260 "
Michigan (2),"2,810,414 ","21,085 ","2,831,499 ","3,549 "," 5,396 ","8,945 ","5,298,460 ","48,120 ","5,346,581 ","253,040 ",— ,"253,040 ","8,365,463 ","74,602 ","8,440,065 "
Minnesota (2),"1,821,645 ","15,186 ","1,836,831 ","14,338 ","5,701 ","20,039 ","3,302,172 ","32,056 ","3,334,229 ","234,786 ",— ,"234,786 ","5,372,941 ","52,944 ","5,425,885 "
Mississippi ,"803,827 "," 2,234 ","806,061 ","1,877 "," 5,552 ","7,429 ","1,214,993 "," 6,688 ","1,221,681 ","31,509 ",— ,"31,509 ","2,052,206 ","14,475 ","2,066,681 "
Missouri (2),"2,035,762 ","17,026 ","2,052,788 ","27,112 ", 108 ,"27,220 ","3,285,014 ","33,313 ","3,318,327 ","135,954 ",— ,"135,954 ","5,483,842 ","50,447 ","5,534,289 "
Montana ,"438,642 ", 477 ,"439,118 ","4,949 ", 165 ,"5,114 ","1,113,449 "," 4,279 ","1,117,728 ","338,831 ",14 ,"338,845 ","1,895,871 ","4,935 ","1,900,806 "
Nebraska,"647,411 "," 14,453 ","661,864 ","13,563 ",42 ,"13,605 ","1,210,298 "," 28,881 ","1,239,179 ","53,811 ",21 ,"53,832 ","1,925,083 ","43,396 ","1,968,479 "
Nevada (2),"1,052,571 ","7,618 ","1,060,188 ","1,588 "," 2,710 ","4,298 ","1,393,305 ","13,860 ","1,407,165 ","74,921 ",10 ,"74,931 ","2,522,385 ","24,198 ","2,546,583 "
New Hampshire,"486,514 ","2,710 ","489,224 ",593 ," 2,503 ","3,096 ","786,275 ","5,617 ","791,892 ","79,055 ",112 ,"79,167 ","1,352,437 ","10,942 ","1,363,379 "
New Jersey (2),"2,616,279 "," 22,982 ","2,639,261 ","23,733 "," 2,288 ","26,021 ","3,182,783 "," 36,587 ","3,219,369 ","148,363 ",— ,"148,363 ","5,971,158 ","61,857 ","6,033,015 "
New Mexico,"635,272 "," 6,566 ","641,838 ","5,352 ",191 ,"5,543 ","1,099,437 "," 18,137 ","1,117,575 ","60,466 ",— ,"60,466 ","1,800,527 ","24,894 ","1,825,421 "
New York ,"4,425,722 "," 18,669 ","4,444,391 ","76,120 "," 5,701 ","81,821 ","6,438,749 "," 39,575 ","6,478,324 ","384,618 ",4 ,"384,622 ","11,325,209 ","63,949 ","11,389,158 "
North Carolina,"3,390,087 "," 44,478 ","3,434,565 ","11,259 "," 20,838 ","32,097 ","4,802,197 "," 70,680 ","4,872,877 ","187,559 ",290 ,"187,849 ","8,391,102 ","136,286 ","8,527,388 "
North Dakota,"224,952 "," 3,929 ","228,881 ","1,402 "," 2,101 ","3,503 ","619,934 "," 12,654 ","632,588 ","38,673 ",23 ,"38,696 ","884,961 ","18,707 ","903,668 "
Ohio,"4,380,516 "," 42,732 ","4,423,248 ","35,348 ","6,264 ","41,612 ","5,961,689 "," 68,187 ","6,029,876 ","406,516 ",27 ,"406,543 ","10,784,069 ","117,210 ","10,901,279 "
Oklahoma (2),"1,249,360 "," 5,774 ","1,255,134 ","1,780 "," 1,077 ","2,857 ","2,304,333 "," 14,852 ","2,319,185 ","129,446 ",2 ,"129,448 ","3,684,919 ","21,705 ","3,706,624 "
Oregon ,"1,399,619 "," 25,181 ","1,424,799 ","8,447 "," 9,207 ","17,654 ","2,295,562 "," 46,243 ","2,341,805 ","134,113 ",786 ,"134,899 ","3,837,741 ","81,416 ","3,919,157 "
Pennsylvania,"4,222,743 "," 45,067 ","4,267,811 ","53,680 "," 2,656 ","56,336 ","6,034,774 "," 74,754 ","6,109,528 ","365,886 ",755 ,"366,641 ","10,677,083 ","123,232 ","10,800,315 "
Rhode Island ,"389,425 "," 7,083 ","396,508 ","1,820 ",425 ,"2,245 ","436,820 "," 9,194 ","446,014 ","24,068 ",107 ,"24,175 ","852,133 ","16,809 ","868,942 "
South Carolina,"1,724,396 "," 76,847 ","1,801,243 ","5,386 "," 12,266 ","17,652 ","2,466,286 "," 114,452 ","2,580,737 ","116,029 ",481 ,"116,510 ","4,312,097 ","204,046 ","4,516,143 "
South Dakota ,"337,367 ","5,502 ","342,868 ",— ," 2,658 ","2,658 ","796,675 ","14,730 ","811,405 ","123,312 ",725 ,"124,037 ","1,257,354 ","23,615 ","1,280,969 "
Tennessee ,"2,137,154 "," 48,074 ","2,185,229 ","2,988 "," 26,581 ","29,569 ","3,337,258 "," 80,943 ","3,418,200 ","182,509 ","2,380 ","184,889 ","5,659,909 ","157,978 ","5,817,887 "
Texas ,"8,223,542 "," 90,080 ","8,313,623 ","17,920 ","52,171 ","70,091 ","14,092,532 "," 179,533 ","14,272,065 ","350,297 ","1,070 ","351,367 ","22,684,291 ","322,855 ","23,007,146 "
Utah,"910,430 "," 11,216 ","921,645 ","2,628 "," 3,963 ","6,591 ","1,375,514 "," 20,616 ","1,396,130 ","105,686 ",223 ,"105,909 ","2,394,258 ","36,017 ","2,430,275 "
Vermont (2),"202,897 "," 3,724 ","206,621 ",322 , 768 ,"1,090 ","374,751 "," 7,562 ","382,313 ","30,404 ",— ,"30,404 "," 608,374 ","12,054 ","620,428 "
Virginia,"3,145,500 "," 41,526 ","3,187,026 ","8,452 "," 26,628 ","35,080 ","4,164,352 "," 67,420 ","4,231,772 ","193,099 ",714 ,"193,813 ","7,511,403 ","136,289 ","7,647,692 "
Washington (2),"2,877,533 "," 66,381 ","2,943,914 ","5,826 ","18,737 ","24,563 ","4,071,834 "," 104,346 ","4,176,180 ","232,369 ",2 ,"232,371 ","7,187,562 ","189,466 ","7,377,028 "
West Virginia (2),"525,159 ","11,488 ","536,646 ",225 ," 2,961 ","3,186 ","1,056,436 ","25,082 ","1,081,518 ","45,500 ","1,263 ","46,763 ","1,627,320 ","40,793 ","1,668,113 "
Wisconsin (2),"1,973,948 "," 30,053 ","2,004,002 ","14,926 ", 47 ,"14,973 ","3,308,723 "," 54,828 ","3,363,551 ","283,461 ",413 ,"283,874 ","5,581,058 ","85,342 ","5,666,400 "
Wyoming ,"193,092 ","3,127 ","196,219 ","2,568 ","1,533 ","4,101 ","603,208 ","11,500 ","614,707 ","28,640 ",4 ,"28,644 ","827,508 ","16,163 ","843,671 "
   Total,"107,180,635 ","1,367,075 ","108,547,710 ","575,193 ","419,840 ","995,033 ","156,080,086 ","2,272,031 ","158,352,117 ","8,566,564 ","29,750 ","8,596,314 ","272,402,478 ","4,088,696 ","276,491,174 "
,,,,,,,,,,,,,,,
"Sums may not equal to totals because of rounding.

",,,,,,,,,,,,,,,
(1) Many States did not report government vehicle registration data. Total may not be representative of publicly-owned vehicle registrations.,,,,,,,,,,,,,,,
(2) Some data estimated by FHWA using secondary data sources due to data quality concerns.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
