STATE MOTOR-VEHICLE REGISTRATIONS - 2020,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
February 2023,,,,,,,,,,,,,,,TABLE MV-1
,,,,,,,,,,,,,,,
,AUTOMOBILES,,,BUSES,,,TRUCKS,,,MOTORCYCLES,,,ALL MOTOR VEHICLES,,
STATE,PRIVATE AND,,,,,,,,,,,,,,
,COMMERCIAL,PUBLICLY,,PRIVATE AND,PUBLICLY,,PRIVATE AND,PUBLICLY,,PRIVATE AND,PUBLICLY,,PRIVATE AND,PUBLICLY,
,(INCLUDING,OWNED,TOTAL,COMMERCIAL,OWNED,TOTAL,COMMERCIAL,OWNED,TOTAL,COMMERCIAL,OWNED ,TOTAL,COMMERCIAL,OWNED,TOTAL
,TAXICABS),(1),,,(1),,,(1),,,(1),,,(1),
Alabama,"1,993,089 ","42,287 ","2,035,376 ","5,492 ",132 ,"5,624 ","3,094,573 ","69,866 ","3,164,439 ","114,901 ",— ,"114,901 ","5,208,055 ","112,285 ","5,320,340 "
Alaska ,"167,313 "," 3,831 ","171,144 ","8,022 ",598 ,"8,620 ","571,380 "," 14,901 ","586,281 ","26,772 ",9 ,"26,781 ","773,487 ","19,339 ","792,826 "
Arizona,"2,391,632 "," 18,386 ","2,410,018 ","1,453 ","7,033 ","8,486 ","3,479,891 "," 34,312 ","3,514,203 ","121,073 ",1 ,"121,074 ","5,994,049 ","59,732 ","6,053,781 "
Arkansas,"860,646 ","11,791 ","872,437 ","11,322 ",722 ,"12,044 ","1,831,759 ","27,332 ","1,859,091 ","169,796 ",1 ,"169,797 ","2,873,523 ","39,846 ","2,913,369 "
California ,"13,957,692 "," 243,708 ","14,201,400 ","34,282 ","66,546 ","100,828 ","15,008,976 "," 301,621 ","15,310,597 ","771,826 ","13,598 ","785,424 ","29,772,776 ","625,473 ","30,398,249 "
Colorado ,"1,623,494 "," 15,534 ","1,639,028 ","5,718 ","8,002 ","13,720 ","3,481,409 "," 37,465 ","3,518,874 ","179,080 ",6 ,"179,086 ","5,289,701 ","61,007 ","5,350,708 "
Connecticut,"1,210,262 ", 909 ,"1,211,171 ","11,705 ",68 ,"11,773 ","1,558,840 "," 4,821 ","1,563,661 ","80,926 ",23 ,"80,949 ","2,861,733 ","5,821 ","2,867,554 "
Delaware ,"414,460 ","1,455 ","415,915 ","3,391 ",468 ,"3,859 ","579,091 ","3,247 ","582,338 ","23,253 ",65 ,"23,318 ","1,020,195 ","5,235 ","1,025,430 "
Dist. of Col. ,"191,873 ","18,424 ","210,297 ","1,024 ","4,109 ","5,133 ","123,078 ","14,462 ","137,540 ","3,182 ",385 ,"3,567 ","319,157 ","37,380 ","356,537 "
Florida ,"7,736,727 "," 104,826 ","7,841,553 ","24,415 ","35,758 ","60,173 ","9,792,260 "," 150,443 ","9,942,703 ","617,323 ","2,754 ","620,077 ","18,170,725 ","293,781 ","18,464,506 "
Georgia ,"3,444,115 "," 51,306 ","3,495,421 ","12,290 ","24,612 ","36,902 ","5,006,420 "," 83,196 ","5,089,616 ","207,615 ",42 ,"207,657 ","8,670,440 ","159,156 ","8,829,596 "
Hawaii,"468,176 "," 6,803 ","474,979 ","1,695 ","1,190 ","2,885 ","716,046 "," 14,045 ","730,091 ","36,709 ",271 ,"36,980 ","1,222,626 ","22,309 ","1,244,935 "
Idaho,"586,008 "," 2,354 ","588,362 ","3,374 ",564 ,"3,938 ","1,258,139 "," 8,144 ","1,266,283 ","59,196 ",29 ,"59,225 ","1,906,717 ","11,091 ","1,917,808 "
Illinois ,"4,126,473 "," 35,182 ","4,161,655 ","34,151 ",172 ,"34,323 ","6,050,069 "," 62,870 ","6,112,939 ","280,321 ",1 ,"280,322 ","10,491,014 ","98,225 ","10,589,239 "
Indiana ,"2,121,269 "," 2,479 ","2,123,748 ","6,891 ","13,979 ","20,870 ","3,836,561 "," 8,898 ","3,845,459 ","209,762 ",62 ,"209,824 ","6,174,483 ","25,418 ","6,199,901 "
Iowa ,"1,153,267 "," 10,484 ","1,163,751 ","3,766 ","5,407 ","9,173 ","2,398,641 "," 23,855 ","2,422,496 ","191,474 ",330 ,"191,804 ","3,747,148 ","40,076 ","3,787,224 "
Kansas,"885,177 ","3,906 ","889,083 ","4,196 ","2,405 ","6,601 ","1,607,427 ","9,789 ","1,617,216 ","90,602 ",41 ,"90,643 ","2,587,402 ","16,141 ","2,603,543 "
Kentucky,"1,613,475 "," 31,022 ","1,644,497 ","1,315 ","9,673 ","10,988 ","2,652,943 "," 54,101 ","2,707,044 ","97,075 ",81 ,"97,156 ","4,364,808 ","94,877 ","4,459,685 "
Louisiana,"1,288,404 ","27,287 ","1,315,691 ","21,872 ","8,211 ","30,083 ","2,360,240 ","53,700 ","2,413,940 ","100,957 ",533 ,"101,490 ","3,771,473 ","89,731 ","3,861,204 "
Maine ,"352,449 ","3,630 ","356,079 ","1,486 ","3,137 ","4,623 ","713,658 ","8,406 ","722,064 ","38,319 ",21 ,"38,340 ","1,105,912 ","15,194 ","1,121,106 "
Maryland,"1,795,964 "," 27,589 ","1,823,553 ","16,520 ","6,887 ","23,407 ","2,210,307 "," 42,427 ","2,252,734 ","112,550 ",— ,"112,550 ","4,135,341 ","76,903 ","4,212,244 "
Massachusetts (2)," 1,999,889 "," 3,484 "," 2,003,373 ","13,510 ",242 ," 13,752 "," 2,870,674 "," 10,764 "," 2,881,438 "," 137,409 ", 714 ," 138,123 "," 5,021,482 "," 15,204 "," 5,036,686 "
Michigan,"2,671,737 ","19,967 ","2,691,704 ","3,542 ","5,400 ","8,942 ","5,466,954 ","48,158 ","5,515,112 ","236,346 ","1,135 ","237,481 ","8,378,579 ","74,660 ","8,453,239 "
Minnesota ,"1,827,137 ","14,553 ","1,841,690 ","13,429 ","5,763 ","19,192 ","3,554,112 ","31,783 ","3,585,895 ","243,972 ",— ,"243,972 ","5,638,650 ","52,099 ","5,690,749 "
Mississippi ,"786,202 "," 2,223 ","788,425 ","1,877 ","5,509 ","7,386 ","1,226,266 "," 6,325 ","1,232,591 ","30,573 ",— ,"30,573 ","2,044,918 ","14,057 ","2,058,975 "
Missouri,"1,975,005 ","16,371 ","1,991,376 ","27,073 ","6,677 ","33,750 ","3,402,232 ","32,958 ","3,435,190 ","126,706 ",— ,"126,706 ","5,531,016 ","56,006 ","5,587,022 "
Montana ,"458,637 ", 444 ,"459,081 ","4,981 ",214 ,"5,195 ","1,129,447 "," 3,655 ","1,133,102 ","355,160 ",15 ,"355,175 ","1,948,225 ","4,328 ","1,952,553 "
Nebraska,"610,897 "," 14,010 ","624,907 ","13,533 ","3,756 ","17,289 ","1,213,461 "," 29,327 ","1,242,788 ","50,277 ",96 ,"50,373 ","1,888,168 ","47,189 ","1,935,357 "
Nevada ,"1,020,129 ","7,374 ","1,027,503 ","1,578 ","2,688 ","4,266 ","1,435,681 ","13,608 ","1,449,289 ","69,356 ",— ,"69,356 ","2,526,744 ","23,670 ","2,550,414 "
New Hampshire,"458,256 ","2,569 ","460,825 ",596 ,"2,484 ","3,080 ","809,332 ","5,610 ","814,942 ","78,616 ",72 ,"78,688 ","1,346,800 ","10,735 ","1,357,535 "
New Jersey ,"2,518,878 "," 22,247 ","2,541,125 ","23,733 ","2,225 ","25,958 ","3,280,303 "," 37,482 ","3,317,785 ","121,379 ",— ,"121,379 ","5,944,293 ","61,954 ","6,006,247 "
New Mexico,"617,536 "," 6,419 ","623,955 ","5,347 ","4,444 ","9,791 ","1,077,744 "," 16,715 ","1,094,459 ","54,578 ",368 ,"54,946 ","1,755,205 ","27,946 ","1,783,151 "
New York ,"4,214,023 "," 18,725 ","4,232,748 ","76,120 ","5,562 ","81,682 ","6,585,225 "," 40,480 ","6,625,705 ","384,618 ",2 ,"384,620 ","11,259,986 ","64,769 ","11,324,755 "
North Carolina,"3,352,960 "," 45,510 ","3,398,470 ","11,233 ","22,099 ","33,332 ","5,042,146 "," 75,652 ","5,117,798 ","189,368 ",312 ,"189,680 ","8,595,707 ","143,573 ","8,739,280 "
North Dakota,"211,955 "," 3,699 ","215,654 ","1,409 ","2,254 ","3,663 ","630,951 "," 12,581 ","643,532 ","36,209 ",25 ,"36,234 ","880,524 ","18,559 ","899,083 "
Ohio,"4,208,938 "," 38,905 ","4,247,843 ","35,331 ","6,151 ","41,482 ","5,856,331 "," 66,044 ","5,922,375 ","380,600 ",17 ,"380,617 ","10,481,200 ","111,117 ","10,592,317 "
Oklahoma  ,"1,218,261 "," 5,587 ","1,223,848 ","1,761 ","1,080 ","2,841 ","2,354,872 "," 14,791 ","2,369,663 ","133,895 ",— ,"133,895 ","3,708,789 ","21,458 ","3,730,247 "
Oregon ,"1,416,471 "," 24,377 ","1,440,848 ","8,494 ","9,347 ","17,841 ","2,466,465 "," 46,671 ","2,513,136 ","123,016 ",601 ,"123,617 ","4,014,446 ","80,996 ","4,095,442 "
Pennsylvania,"3,999,144 "," 44,571 ","4,043,715 ","52,492 ","2,775 ","55,267 ","6,151,650 "," 79,062 ","6,230,712 ","359,724 ",769 ,"360,493 ","10,563,010 ","127,177 ","10,690,187 "
Rhode Island ,"374,939 "," 6,828 ","381,767 ","1,853 ",424 ,"2,277 ","449,562 "," 9,371 ","458,933 ","23,517 ",90 ,"23,607 ","849,871 ","16,713 ","866,584 "
South Carolina,"1,692,051 "," 75,297 ","1,767,348 ","5,109 ","11,357 ","16,466 ","2,545,151 "," 117,820 ","2,662,971 ","114,085 ",429 ,"114,514 ","4,356,396 ","204,903 ","4,561,299 "
South Dakota ,"319,820 ","5,181 ","325,001 ",— ,"2,669 ","2,669 ","822,483 ","14,360 ","836,843 ","128,885 ",884 ,"129,769 ","1,271,188 ","23,094 ","1,294,282 "
Tennessee ,"2,069,406 "," 46,226 ","2,115,632 ","3,013 ","26,547 ","29,560 ","3,451,227 "," 81,684 ","3,532,911 ","176,264 ","1,006 ","177,270 ","5,699,910 ","155,463 ","5,855,373 "
Texas ,"8,000,313 "," 87,745 ","8,088,058 ","17,920 ","53,011 ","70,931 ","13,756,057 "," 176,144 ","13,932,201 ","325,877 ","2,423 ","328,300 ","22,100,167 ","319,323 ","22,419,490 "
Utah,"891,867 "," 10,856 ","902,723 ","2,381 ","4,040 ","6,421 ","1,425,394 "," 21,142 ","1,446,536 ","123,410 ",514 ,"123,924 ","2,443,052 ","36,552 ","2,479,604 "
Vermont,"189,922 "," 3,485 ","193,407 ",629 ,757 ,"1,386 ","377,111 "," 7,351 ","384,462 ","28,942 ",— ,"28,942 "," 596,604 ","11,593 ","608,197 "
Virginia,"3,014,609 "," 42,645 ","3,057,254 ","8,016 ","27,447 ","35,463 ","4,257,801 "," 71,493 ","4,329,294 ","183,717 ",724 ,"184,441 ","7,464,143 ","142,309 ","7,606,452 "
Washington ,"2,735,895 "," 64,475 ","2,800,370 ","5,773 ","18,399 ","24,172 ","4,105,801 "," 105,610 ","4,211,411 ","221,448 ",— ,"221,448 ","7,068,917 ","188,484 ","7,257,401 "
West Virginia,"497,785 ","10,878 ","508,663 ",224 ,"2,931 ","3,155 ","1,077,315 ","24,700 ","1,102,015 ","42,609 ",920 ,"43,529 ","1,617,933 ","39,429 ","1,657,362 "
Wisconsin ,"1,873,334 "," 28,163 ","1,901,497 ","14,893 ",48 ,"14,941 ","3,368,180 "," 55,343 ","3,423,523 ","275,880 ",430 ,"276,310 ","5,532,287 ","83,984 ","5,616,271 "
Wyoming ,"188,354 ","2,978 ","191,332 ","2,563 ","1,538 ","4,101 ","625,702 ","11,405 ","637,107 ","28,476 ",12 ,"28,488 ","845,095 ","15,933 ","861,028 "
   Total,"103,796,315 ","1,338,985 ","105,135,300 ","572,793 ","437,511 ","1,010,304 ","159,147,338 ","2,295,990 ","161,443,328 ","8,317,624 ","29,811 ","8,347,435 ","271,834,070 ","4,102,297 ","275,936,367 "
"Sums may not equal to totals due to rounding.
(1) Many States did not report government vehicle registration data.  Total may not be representative of publicly-owned vehicle registrations.
(2) Some data estimated by FHWA using secondary data sources due to data quality concerns.",,,,,,,,,,,,,,,
