State Motor-Vehicle Registrations - 2021 (1),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
February 2023 (Revised March 2023),,,,,,,,,,,,,,,TABLE MV-1
,,,,,,,,,,,,,,,
,AUTOMOBILES,,,BUSES,,,TRUCKS,,,MOTORCYCLES,,,ALL MOTOR VEHICLES,,
STATE,PRIVATE AND,,,,,,,,,,,,,,
,COMMERCIAL,PUBLICLY,,PRIVATE AND,PUBLICLY,,PRIVATE AND,PUBLICLY,,PRIVATE AND,PUBLICLY,,PRIVATE AND,PUBLICLY,
,(INCLUDING,OWNED,TOTAL,COMMERCIAL,OWNED,TOTAL,COMMERCIAL,OWNED,TOTAL,COMMERCIAL,OWNED ,TOTAL,COMMERCIAL,OWNED,TOTAL
,TAXICABS),,,,,,,,,,,,,,
Alabama (2),"2,057,940 ","1,199 ","2,059,139 ","3,222 ",136 ,"3,358 ","3,271,678 ","6,495 ","3,278,173 ","123,296 ",— ,"123,296 ","5,456,136 ","7,830 ","5,463,966 "
Alaska ,"138,729 "," 2,364 ","141,093 ","7,257 ",578 ,"7,835 ","501,147 "," 10,354 ","511,501 ","25,703 ",10 ,"25,713 ","672,836 ","13,306 ","686,142 "
Arizona,"2,225,380 "," 33,108 ","2,258,488 ","4,540 ","16,816 ","21,356 ","3,446,021 "," 58,606 ","3,504,627 ","278,777 ","1,294 ","280,071 ","5,954,718 ","109,824 ","6,064,542 "
Arkansas,"940,535 ","18,104 ","958,639 ","10,499 ",835 ,"11,334 ","2,105,469 ","42,674 ","2,148,143 ","437,026 ",— ,"437,026 ","3,493,529 ","61,613 ","3,555,142 "
California ,"14,027,931 "," 240,597 ","14,268,528 ","27,912 ","66,977 ","94,889 ","15,859,736 "," 312,996 ","16,172,732 ","799,450 ","13,474 ","812,924 ","30,715,029 ","634,044 ","31,349,073 "
Colorado ,"1,479,975 "," 16,335 ","1,496,310 ","5,143 ","7,898 ","13,041 ","3,365,500 "," 41,256 ","3,406,756 ","180,287 ",— ,"180,287 ","5,030,905 ","65,489 ","5,096,394 "
Connecticut (2),"1,118,807 ", 471 ,"1,119,278 ","10,191 ",31 ,"10,222 ","1,539,460 "," 4,305 ","1,543,765 ","83,220 ",— ,"83,220 ","2,751,678 ","4,807 ","2,756,485 "
Delaware ,"175,867 ","2,113 ","177,980 ","2,208 ","1,363 ","3,571 ","261,979 ","4,307 ","266,286 ","24,273 ",65 ,"24,338 ","464,327 ","7,848 ","472,175 "
Dist. of Col. ,"186,465 ","12,784 ","199,249 ",761 ,"5,526 ","6,287 ","142,876 ","11,394 ","154,270 ","3,127 ",354 ,"3,481 ","333,229 ","30,058 ","363,287 "
Florida ,"7,752,292 "," 101,687 ","7,853,979 ","24,132 ","35,719 ","59,851 ","10,473,223 "," 155,664 ","10,628,887 ","634,690 ","2,758 ","637,448 ","18,884,337 ","295,828 ","19,180,165 "
Georgia (5),"3,475,456 "," 49,689 ","3,525,145 ","12,578 ","24,817 ","37,395 ","5,282,686 "," 84,334 ","5,367,020 ","213,053 ",43 ,"213,096 ","8,983,773 ","158,883 ","9,142,656 "
Hawaii,"456,261 "," 7,613 ","463,874 ","1,223 ",666 ,"1,889 ","727,961 "," 15,947 ","743,908 ","25,417 ",385 ,"25,802 ","1,210,862 ","24,611 ","1,235,473 "
Idaho (3),"568,864 "," 1,100 ","569,964 ","1,940 ",280 ,"2,220 ","1,349,991 "," 5,440 ","1,355,431 ","48,573 ",11 ,"48,584 ","1,969,368 ","6,831 ","1,976,199 "
Illinois ,"4,112,710 "," 4,879 ","4,117,589 ","37,446 ",89 ,"37,535 ","6,516,541 "," 19,108 ","6,535,649 ","312,954 ",2 ,"312,956 ","10,979,651 ","24,078 ","11,003,729 "
Indiana (4),"2,062,916 "," 1,638 ","2,064,554 ","2,060 ","1,246 ","3,306 ","3,939,924 "," 7,702 ","3,947,626 ","225,763 ",42 ,"225,805 ","6,230,663 ","10,628 ","6,241,291 "
Iowa ,"1,119,070 "," 9,991 ","1,129,061 ","4,031 ","5,337 ","9,368 ","2,482,684 "," 24,249 ","2,506,933 ","193,620 ",330 ,"193,950 ","3,799,405 ","39,907 ","3,839,312 "
Kansas,"853,291 ","3,698 ","856,989 ",359 ,"1,499 ","1,858 ","1,646,973 ","9,822 ","1,656,795 ","90,623 ",48 ,"90,671 ","2,591,246 ","15,067 ","2,606,313 "
Kentucky,"1,537,391 "," 30,044 ","1,567,435 ","1,253 ","9,663 ","10,916 ","2,675,409 "," 55,241 ","2,730,650 ","99,642 ",87 ,"99,729 ","4,313,695 ","95,035 ","4,408,730 "
Louisiana (3),"1,246,843 ","32,658 ","1,279,501 ","23,071 ","8,610 ","31,681 ","2,385,093 ","66,156 ","2,451,249 ","99,534 ",524 ,"100,058 ","3,754,542 ","107,948 ","3,862,490 "
Maine ,"414,457 ","1,268 ","415,725 ",939 ,332 ,"1,271 ","906,859 ","3,947 ","910,806 ","59,851 ",3 ,"59,854 ","1,382,106 ","5,550 ","1,387,656 "
Maryland,"2,048,469 "," 27,924 ","2,076,393 ","6,301 ","9,526 ","15,827 ","2,668,691 "," 44,980 ","2,713,671 ","104,707 ",76 ,"104,783 ","4,828,168 ","82,506 ","4,910,674 "
Massachusetts ," 1,961,842 "," 18,591 "," 1,980,433 ","11,100 ","3,146 "," 14,246 "," 3,030,413 "," 34,472 "," 3,064,885 "," 146,755 ", 733 ," 147,488 "," 5,150,110 "," 56,942 "," 5,207,052 "
Michigan,"2,857,124 ","37,704 ","2,894,828 ",— ,72 ,72 ,"6,315,019 ","90,701 ","6,405,720 ","254,900 ",932 ,"255,832 ","9,427,043 ","129,409 ","9,556,452 "
Minnesota ,"1,724,915 ","5,082 ","1,729,997 ","12,836 ",27 ,"12,863 ","3,531,081 ","14,132 ","3,545,213 ","223,887 ",— ,"223,887 ","5,492,719 ","19,241 ","5,511,960 "
Mississippi ,"891,658 "," 1,940 ","893,598 ","2,371 ","6,975 ","9,346 ","1,444,248 "," 5,927 ","1,450,175 ","32,649 ",— ,"32,649 ","2,370,926 ","14,842 ","2,385,768 "
Missouri (2),"1,915,254 ","1,243 ","1,916,497 ","22,068 ",111 ,"22,179 ","3,521,756 ","7,449 ","3,529,205 ","136,058 ",— ,"136,058 ","5,595,136 ","8,803 ","5,603,939 "
Montana ,"463,104 ", 547 ,"463,651 ","4,930 ",208 ,"5,138 ","1,290,170 "," 3,890 ","1,294,060 ","377,154 ",11 ,"377,165 ","2,135,358 ","4,656 ","2,140,014 "
Nebraska,"594,827 "," 10,073 ","604,900 ","3,702 ","4,986 ","8,688 ","1,246,142 "," 22,645 ","1,268,787 ","51,056 ",97 ,"51,153 ","1,895,727 ","37,801 ","1,933,528 "
Nevada (2),"1,051,246 ",431 ,"1,051,677 ",257 ,52 ,309 ,"1,542,243 ","3,850 ","1,546,093 ","78,064 ",— ,"78,064 ","2,671,810 ","4,333 ","2,676,143 "
New Hampshire,"454,868 ","3,273 ","458,141 ",754 ,"1,669 ","2,423 ","864,990 ","7,369 ","872,359 ","84,953 ",73 ,"85,026 ","1,405,565 ","12,384 ","1,417,949 "
New Jersey ,"2,511,428 "," 23,820 ","2,535,248 ","24,318 ","2,304 ","26,622 ","3,487,133 "," 41,300 ","3,528,433 ","159,602 ",— ,"159,602 ","6,182,481 ","67,424 ","6,249,905 "
New Mexico,"600,487 "," 19,203 ","619,690 ","2,153 ","4,582 ","6,735 ","1,138,073 "," 41,681 ","1,179,754 ","56,122 ",372 ,"56,494 ","1,796,835 ","65,838 ","1,862,673 "
New York (3),"3,099,312 "," 12,718 ","3,112,030 ","78,085 ","5,232 ","83,317 ","5,209,841 "," 33,783 ","5,243,624 ","969,815 ",10 ,"969,825 ","9,357,053 ","51,743 ","9,408,796 "
North Carolina,"3,235,757 "," 44,730 ","3,280,487 ","9,872 ","22,446 ","32,318 ","5,126,804 "," 78,583 ","5,205,387 ","188,962 ",352 ,"189,314 ","8,561,395 ","146,111 ","8,707,506 "
North Dakota,"208,033 "," 4,259 ","212,292 ","1,005 ","2,358 ","3,363 ","657,188 "," 14,987 ","672,175 ","37,331 ",25 ,"37,356 ","903,557 ","21,629 ","925,186 "
Ohio,"4,047,391 "," 39,130 ","4,086,521 ","28,575 ","6,470 ","35,045 ","6,286,110 "," 70,300 ","6,356,410 ","414,384 ",17 ,"414,401 ","10,776,460 ","115,917 ","10,892,377 "
Oklahoma  ,"1,051,337 "," 5,030 ","1,056,367 ","1,491 ",110 ,"1,601 ","2,105,736 "," 14,089 ","2,119,825 ","175,374 ",— ,"175,374 ","3,333,938 ","19,229 ","3,353,167 "
Oregon ,"1,338,818 "," 18,308 ","1,357,126 ","8,796 ","8,065 ","16,861 ","2,464,478 "," 37,957 ","2,502,435 ","133,617 ",596 ,"134,213 ","3,945,709 ","64,926 ","4,010,635 "
Pennsylvania,"3,874,368 "," 43,218 ","3,917,586 ","51,799 ","2,770 ","54,569 ","6,501,564 "," 82,099 ","6,583,663 ","371,275 ",788 ,"372,063 ","10,799,006 ","128,875 ","10,927,881 "
Rhode Island ,"333,565 "," 4,786 ","338,351 ","1,841 ",336 ,"2,177 ","428,962 "," 7,331 ","436,293 ","24,743 ",90 ,"24,833 ","789,111 ","12,543 ","801,654 "
South Carolina,"1,781,727 "," 137,802 ","1,919,529 ","5,053 ","11,319 ","16,372 ","2,813,933 "," 222,297 ","3,036,230 ","119,109 ",439 ,"119,548 ","4,719,822 ","371,857 ","5,091,679 "
South Dakota ,"311,336 ","6,361 ","317,697 ","1,070 ","20,473 ","21,543 ","852,459 ","18,477 ","870,936 ","222,865 ",3 ,"222,868 ","1,387,730 ","45,314 ","1,433,044 "
Tennessee ,"2,305,722 "," 40,825 ","2,346,547 ","15,175 ","6,865 ","22,040 ","4,071,633 "," 77,174 ","4,148,807 ","194,332 ",996 ,"195,328 ","6,586,862 ","125,860 ","6,712,722 "
Texas ,"7,672,313 "," 111,754 ","7,784,067 ","15,793 ","57,670 ","73,463 ","14,581,875 "," 230,293 ","14,812,168 ","340,892 ","2,400 ","343,292 ","22,610,873 ","402,117 ","23,012,990 "
Utah,"974,215 "," 16,541 ","990,756 ","1,817 ","5,626 ","7,443 ","1,677,553 "," 31,843 ","1,709,396 ","130,343 ",567 ,"130,910 ","2,783,928 ","54,577 ","2,838,505 "
Vermont,"177,239 "," 2,786 ","180,025 ",834 ,536 ,"1,370 ","395,019 "," 6,481 ","401,500 ","31,445 ",— ,"31,445 "," 604,537 ","9,803 ","614,340 "
Virginia,"2,937,556 "," 40,835 ","2,978,391 ","8,117 ","27,566 ","35,683 ","4,377,367 "," 72,495 ","4,449,862 ","187,384 ",716 ,"188,100 ","7,510,424 ","141,612 ","7,652,036 "
Washington ,"2,895,251 "," 81,823 ","2,977,074 ","4,788 ","18,378 ","23,166 ","4,584,669 "," 135,829 ","4,720,498 ","245,409 ",— ,"245,409 ","7,730,117 ","236,030 ","7,966,147 "
West Virginia,"352,938 ","6,492 ","359,430 ",87 ,51 ,138 ,"795,918 ","15,902 ","811,820 ","46,723 ",913 ,"47,636 ","1,195,666 ","23,358 ","1,219,024 "
Wisconsin ,"1,791,851 "," 33,599 ","1,825,450 ","13,795 ",54 ,"13,849 ","3,535,519 "," 70,266 ","3,605,785 ","323,530 ",444 ,"323,974 ","5,664,695 ","104,363 ","5,769,058 "
Wyoming ,"186,214 ",369 ,"186,583 ","1,146 ",124 ,"1,270 ","651,283 ","2,818 ","654,101 ","29,006 ",9 ,"29,015 ","867,649 ","3,320 ","870,969 "
   Total,"101,601,344 ","1,372,537 ","102,973,881 ","520,694 ","418,525 ","939,219 ","166,079,082 ","2,481,397 ","168,560,479 ","9,851,325 ","30,089 ","9,881,414 ","278,052,445 ","4,302,548 ","282,354,993 "
"Sums may not equal to totals due to rounding.
",,,,,,,,,,,,,,,
"(1) Published data reflects State-supplied data without FHWA estimation procedures applied, except where noted.",,,,,,,,,,,,,,,
(2) State did not report government registration data for 1 or more vehicle types.,,,,,,,,,,,,,,,
(3) Data was estimated by FHWA due to data quality concerns which were not addressed by the State per FHWA's request.,,,,,,,,,,,,,,,
(4) State verified significant decreases in reported data due to the instability caused by Covid-19 pandemic; accurate reporting anticipated to resume in 2023. FHWA estimated data due to data quality concerns.,,,,,,,,,,,,,,,
(5) State provided estimated registration data in lieu of actual registration counts.,,,,,,,,,,,,,,,
