WEIGHTED  AVERAGE  DAILY  TRAFFIC  PER  LANE - 2011,,,,,,,,,,,,,,,,,,,,,,,,,,
ON  PRINCIPAL  ARTERIALS,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
FEBRUARY 2013,,,,,,,,,TABLE HM-62,,,,,,,,,,,,,,,,,
,RURAL,,,,URBAN,,,,,,,,,,,,,,,,,,,,,
,,OTHER,OTHER,ALL,,OTHER,OTHER,ALL,ALL,,,,,,,,,,,,,,,,,
STATE,INTERSTATE,FREEWAYS  AND,PRINCIPAL,PRINCIPAL,INTERSTATE,FREEWAYS  AND,PRINCIPAL,PRINCIPAL,PRINCIPAL,,,,,,,,,,,,,,,,,
,,EXPRESSWAYS,ARTERIAL,ARTERIALS,,EXPRESSWAYS,ARTERIAL,ARTERIALS,ARTERIALS,,,,,,,,,,,,,,,,,
Alabama," 6,948 "," 2,891 "," 2,481 "," 3,372 "," 10,802 "," 7,572 "," 5,270 "," 6,728 "," 4,556 ",,,,,,,,,,,,,,,,,
Alaska," 1,026 ", -, 587 , 859 ," 5,543 ", -," 5,411 "," 5,467 "," 1,329 ",,,,,,,,,,,,,,,,,
Arizona," 4,658 "," 3,059 "," 2,551 "," 3,465 "," 12,831 "," 14,734 "," 5,244 "," 6,974 "," 5,017 ",,,,,,,,,,,,,,,,,
Arkansas," 6,863 "," 2,671 "," 1,944 "," 2,803 "," 10,992 "," 6,659 "," 4,278 "," 5,939 "," 3,657 ",,,,,,,,,,,,,,,,,
California," 7,516 ", -," 3,985 "," 4,915 "," 20,183 "," 15,521 "," 6,253 "," 9,662 "," 7,999 ",,,,,,,,,,,,,,,,,
Colorado," 4,129 "," 5,294 "," 1,878 "," 2,431 "," 14,249 "," 9,237 "," 5,454 "," 7,462 "," 4,279 ",,,,,,,,,,,,,,,,,
Connecticut," 8,932 "," 5,745 "," 5,000 "," 5,954 "," 15,599 "," 10,748 "," 5,664 "," 9,120 "," 8,658 ",,,,,,,,,,,,,,,,,
Delaware, -, -," 6,642 "," 6,642 "," 13,647 "," 10,063 "," 7,564 "," 8,875 "," 7,993 ",,,,,,,,,,,,,,,,,
Dist. of Columbia, -, -, -, -," 14,777 "," 12,678 "," 6,899 "," 8,379 "," 8,379 ",,,,,,,,,,,,,,,,,
Florida," 7,314 "," 7,136 "," 2,837 "," 3,982 "," 14,842 "," 10,981 "," 6,488 "," 8,270 "," 6,459 ",,,,,,,,,,,,,,,,,
Georgia," 7,366 ", -," 2,083 "," 3,199 "," 14,085 "," 10,748 "," 4,852 "," 7,071 "," 4,881 ",,,,,,,,,,,,,,,,,
Hawaii," 11,838 ", -," 5,995 "," 6,322 "," 14,665 "," 9,549 "," 7,026 "," 8,474 "," 7,903 ",,,,,,,,,,,,,,,,,
Idaho," 2,889 ", -," 1,422 "," 1,760 "," 8,156 ", -," 5,036 "," 5,551 "," 2,497 ",,,,,,,,,,,,,,,,,
