WEIGHTED  AVERAGE  DAILY  TRAFFIC  PER  LANE - 2012,,,,,,,,,,,,,,,,,,,,,,,,,,
ON  PRINCIPAL  ARTERIALS,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"OCTOBER 1, 2013",,,,,,,,,TABLE HM-62,,,,,,,,,,,,,,,,,
,RURAL,,,,URBAN,,,,,,,,,,,,,,,,,,,,,
,,OTHER,OTHER,ALL,,OTHER,OTHER,ALL,ALL,,,,,,,,,,,,,,,,,
STATE,INTERSTATE,FREEWAYS  AND,PRINCIPAL,PRINCIPAL,INTERSTATE,FREEWAYS  AND,PRINCIPAL,PRINCIPAL,PRINCIPAL,,,,,,,,,,,,,,,,,
,,EXPRESSWAYS,ARTERIAL,ARTERIALS,,EXPRESSWAYS,ARTERIAL,ARTERIALS,ARTERIALS,,,,,,,,,,,,,,,,,
Alabama," 6,474 "," 2,538 "," 2,524 "," 3,404 "," 10,277 "," 9,019 "," 5,510 "," 6,859 "," 4,623 ",,,,,,,,,,,,,,,,,
Alaska," 1,313 ", -, 516 , 961 ," 11,017 ", -," 6,445 "," 7,835 "," 1,604 ",,,,,,,,,,,,,,,,,
Arizona," 4,589 "," 2,121 "," 2,527 "," 3,402 "," 12,843 "," 14,332 "," 5,455 "," 7,112 "," 5,037 ",,,,,,,,,,,,,,,,,
Arkansas," 6,643 "," 2,782 "," 1,968 "," 2,775 "," 11,138 "," 6,201 "," 4,289 "," 5,935 "," 3,667 ",,,,,,,,,,,,,,,,,
California," 7,996 ", 922 ," 3,963 "," 5,035 "," 20,342 "," 16,214 "," 6,113 "," 9,514 "," 7,999 ",,,,,,,,,,,,,,,,,
Colorado," 4,183 "," 5,266 "," 1,869 "," 2,436 "," 14,339 "," 9,313 "," 5,404 "," 7,456 "," 4,280 ",,,,,,,,,,,,,,,,,
Connecticut," 8,950 "," 5,853 "," 4,948 "," 5,945 "," 15,748 "," 10,998 "," 5,594 "," 9,142 "," 8,678 ",,,,,,,,,,,,,,,,,
Delaware, -," 8,008 "," 6,565 "," 6,566 "," 14,091 "," 10,212 "," 7,475 "," 8,903 "," 7,979 ",,,,,,,,,,,,,,,,,
Dist. of Columbia, -, -, -, -," 14,920 "," 12,699 "," 7,023 "," 8,402 "," 8,402 ",,,,,,,,,,,,,,,,,
Florida," 7,191 "," 6,935 "," 2,752 "," 3,866 "," 14,672 "," 10,721 "," 6,464 "," 8,197 "," 6,350 ",,,,,,,,,,,,,,,,,
Georgia," 7,427 ", -," 2,071 "," 3,204 "," 14,030 "," 11,004 "," 4,872 "," 7,088 "," 4,891 ",,,,,,,,,,,,,,,,,
Hawaii," 11,815 ", -," 5,622 "," 5,968 "," 14,490 "," 9,071 "," 6,982 "," 8,362 "," 7,728 ",,,,,,,,,,,,,,,,,
Idaho," 2,950 ", -," 1,426 "," 1,777 "," 7,961 ", -," 4,956 "," 5,447 "," 2,496 ",,,,,,,,,,,,,,,,,
