WEIGHTED  AVERAGE  DAILY  TRAFFIC  PER  LANE - 2013,,,,,,,,,,
ON  PRINCIPAL  ARTERIALS,,,,,,,,,,
,,,,,,,,,,
"October 21, 2014                                  ",,,,,,,,,TABLE HM-62,
,RURAL,,,,URBAN,,,,,
,,OTHER,OTHER,ALL,,OTHER,OTHER,ALL,ALL,
STATE,INTERSTATE,FREEWAYS  AND,PRINCIPAL,PRINCIPAL,INTERSTATE,FREEWAYS  AND,PRINCIPAL,PRINCIPAL,PRINCIPAL,
,,EXPRESSWAYS,ARTERIAL,ARTERIALS,,EXPRESSWAYS,ARTERIAL,ARTERIALS,ARTERIALS,
Alabama," 6,550 "," 2,002 "," 2,511 "," 3,379 "," 10,513 "," 8,481 "," 5,475 "," 6,791 "," 4,608 ",
Alaska," 1,354 ", -, 521 , 986 ," 11,333 ", -," 6,538 "," 7,998 "," 1,641 ",
Arizona," 4,297 "," 1,550 "," 2,432 "," 3,238 "," 11,862 "," 12,498 "," 5,500 "," 7,057 "," 5,069 ",
Arkansas," 6,466 "," 2,436 "," 1,826 "," 2,588 "," 10,775 "," 5,493 "," 3,715 "," 5,549 "," 3,557 ",
California," 7,526 "," 9,843 "," 3,498 "," 4,620 "," 19,515 "," 15,933 "," 6,190 "," 9,358 "," 7,823 ",
Colorado," 4,141 "," 5,420 "," 1,864 "," 2,372 "," 14,533 "," 9,398 "," 5,770 "," 7,943 "," 4,179 ",
Connecticut," 9,068 "," 5,778 "," 4,830 "," 5,884 "," 15,719 "," 11,012 "," 5,493 "," 9,081 "," 8,617 ",
Delaware, -, -," 6,742 "," 6,742 "," 13,800 "," 10,609 "," 7,578 "," 8,976 "," 8,094 ",
District of Columbia, -, -, -, -," 15,117 "," 13,333 "," 6,813 "," 8,322 "," 8,322 ",
Florida," 7,326 "," 7,069 "," 2,790 "," 3,928 "," 15,036 "," 10,756 "," 6,473 "," 8,268 "," 6,417 ",
Georgia," 6,883 ", -," 1,839 "," 2,788 "," 13,008 "," 11,854 "," 4,672 "," 6,881 "," 4,944 ",
Hawaii, -, -," 5,980 "," 5,980 "," 14,127 "," 9,032 "," 6,829 "," 8,128 "," 7,799 ",
Idaho," 2,955 ", -," 1,436 "," 1,786 "," 8,206 ", -," 4,967 "," 5,497 "," 2,512 ",
Illinois," 4,443 "," 2,263 "," 1,910 "," 2,809 "," 12,361 "," 6,879 "," 5,147 "," 6,750 "," 4,912 ",
Indiana," 6,644 "," 3,762 "," 2,866 "," 4,126 "," 11,383 "," 5,690 "," 5,095 "," 6,368 "," 5,250 ",
Iowa," 5,102 ", -," 1,668 "," 2,192 "," 9,544 ", -," 3,311 "," 4,292 "," 2,643 ",
Kansas," 3,342 "," 2,114 "," 1,538 "," 1,916 "," 8,831 "," 6,332 "," 3,523 "," 5,043 "," 2,654 ",
Kentucky," 6,950 "," 2,445 "," 2,882 "," 3,771 "," 14,371 "," 7,966 "," 5,366 "," 7,880 "," 4,778 ",
