WEIGHTED  AVERAGE  DAILY  TRAFFIC  PER  LANE - 2014,,,,,,,,,,,,,,,,,,,,,,,,,,
ON  PRINCIPAL  ARTERIALS,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
OCTOBER 2015,,,,,,,,,TABLE HM-62,,,,,,,,,,,,,,,,,
,RURAL,,,,URBAN,,,,,,,,,,,,,,,,,,,,,
,,OTHER,OTHER,ALL,,OTHER,OTHER,ALL,ALL,,,,,,,,,,,,,,,,,
STATE,INTERSTATE,FREEWAYS  AND,PRINCIPAL,PRINCIPAL,INTERSTATE,FREEWAYS  AND,PRINCIPAL,PRINCIPAL,PRINCIPAL,,,,,,,,,,,,,,,,,
,,EXPRESSWAYS,ARTERIAL,ARTERIALS,,EXPRESSWAYS,ARTERIAL,ARTERIALS,ARTERIALS,,,,,,,,,,,,,,,,,
Alabama," 6,641 ", -," 2,316 "," 3,266 "," 10,573 "," 9,028 "," 5,228 "," 6,606 "," 4,610 ",,,,,,,,,,,,,,,,,
Alaska," 1,101 ", -, 505 , 833 ," 11,264 ", -," 6,460 "," 8,221 "," 1,627 ",,,,,,,,,,,,,,,,,
Arizona," 4,345 "," 1,960 "," 2,566 "," 3,325 "," 11,896 "," 12,776 "," 5,094 "," 7,644 "," 4,961 ",,,,,,,,,,,,,,,,,
Arkansas," 6,216 "," 2,784 "," 1,927 "," 2,689 "," 10,040 "," 6,013 "," 4,322 "," 6,084 "," 3,728 ",,,,,,,,,,,,,,,,,
California," 7,155 "," 4,011 "," 3,443 "," 4,375 "," 19,424 "," 15,836 "," 9,659 "," 11,932 "," 9,327 ",,,,,,,,,,,,,,,,,
Colorado," 4,337 "," 5,770 "," 1,843 "," 2,375 "," 14,446 "," 9,877 "," 5,934 "," 8,212 "," 4,379 ",,,,,,,,,,,,,,,,,
Connecticut," 8,415 "," 5,552 "," 4,783 "," 5,522 "," 15,391 "," 10,969 "," 5,612 "," 9,102 "," 8,659 ",,,,,,,,,,,,,,,,,
Delaware, -," 15,607 "," 5,874 "," 7,464 "," 13,449 "," 11,347 "," 7,559 "," 8,918 "," 8,407 ",,,,,,,,,,,,,,,,,
Dist. of Columbia, -, -, -, -," 15,796 "," 13,725 "," 6,765 "," 8,382 "," 8,382 ",,,,,,,,,,,,,,,,,
Florida," 7,321 "," 6,945 "," 2,786 "," 3,917 "," 15,088 "," 11,519 "," 6,514 "," 8,305 "," 6,562 ",,,,,,,,,,,,,,,,,
Georgia," 7,342 ", -," 1,886 "," 2,894 "," 13,402 "," 11,403 "," 4,798 "," 6,950 "," 5,063 ",,,,,,,,,,,,,,,,,
Hawaii, -, -," 5,367 "," 5,367 "," 14,616 "," 8,798 "," 7,116 "," 8,441 "," 7,884 ",,,,,,,,,,,,,,,,,
Idaho," 3,057 ", -," 1,466 "," 1,827 "," 8,244 ", -," 4,798 "," 5,371 "," 2,502 ",,,,,,,,,,,,,,,,,
