WEIGHTED  AVERAGE  DAILY  TRAFFIC  PER  LANE - 2015,,,,,,,,,,,,,,,,,,,,,,,,,,
ON  PRINCIPAL  ARTERIALS,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
DECEMBER 2016,,,,,,,,,TABLE HM-62,,,,,,,,,,,,,,,,,
,RURAL,,,,URBAN,,,,,,,,,,,,,,,,,,,,,
,,OTHER,OTHER,ALL,,OTHER,OTHER,ALL,ALL,,,,,,,,,,,,,,,,,
STATE,INTERSTATE,FREEWAYS  AND,PRINCIPAL,PRINCIPAL,INTERSTATE,FREEWAYS  AND,PRINCIPAL,PRINCIPAL,PRINCIPAL,,,,,,,,,,,,,,,,,
,,EXPRESSWAYS,ARTERIAL,ARTERIALS,,EXPRESSWAYS,ARTERIAL,ARTERIALS,ARTERIALS,,,,,,,,,,,,,,,,,
Alabama," 6,871 ", -," 2,358 "," 3,349 "," 11,019 "," 11,351 "," 5,314 "," 6,804 "," 4,740 ",,,,,,,,,,,,,,,,,
Alaska," 1,001 ", -, 495 , 776 , 776 ," 8,351 ", -," 6,368 "," 1,372 ",,,,,,,,,,,,,,,,,
Arizona," 4,670 "," 1,182 "," 2,590 "," 3,468 "," 3,468 "," 12,546 "," 12,765 "," 8,289 "," 5,296 ",,,,,,,,,,,,,,,,,
Arkansas," 6,454 "," 2,978 "," 1,954 "," 2,761 "," 2,761 "," 10,040 "," 5,737 "," 6,193 "," 3,801 ",,,,,,,,,,,,,,,,,
California," 7,404 "," 8,541 "," 3,132 "," 4,635 "," 4,635 "," 19,880 "," 16,389 "," 10,003 "," 8,162 ",,,,,,,,,,,,,,,,,
Colorado," 4,555 "," 5,772 "," 1,867 "," 2,438 "," 2,438 "," 15,088 "," 10,308 "," 8,532 "," 4,530 ",,,,,,,,,,,,,,,,,
Connecticut," 8,438 "," 5,738 "," 4,833 "," 5,575 "," 5,575 "," 15,600 "," 11,432 "," 9,207 "," 8,750 ",,,,,,,,,,,,,,,,,
Delaware, -," 16,125 "," 5,975 "," 7,711 "," 7,711 "," 14,595 "," 12,057 "," 9,270 "," 8,716 ",,,,,,,,,,,,,,,,,
Dist. of Columbia, -, -, -, -, -," 16,792 "," 14,135 "," 8,430 "," 8,430 ",,,,,,,,,,,,,,,,,
Florida," 7,568 "," 7,263 "," 2,941 "," 4,100 "," 4,100 "," 15,660 "," 12,227 "," 8,593 "," 6,808 ",,,,,,,,,,,,,,,,,
Georgia," 7,455 ", -," 2,210 "," 3,184 "," 3,184 "," 13,799 "," 12,269 "," 7,438 "," 5,414 ",,,,,,,,,,,,,,,,,
Hawaii, -, -," 5,644 "," 5,644 "," 5,644 "," 14,246 "," 8,937 "," 8,373 "," 7,880 ",,,,,,,,,,,,,,,,,
Idaho," 3,266 ", -," 1,467 "," 1,880 "," 1,880 "," 8,696 ", -," 5,576 "," 2,613 ",,,,,,,,,,,,,,,,,
