WEIGHTED  AVERAGE  DAILY  TRAFFIC  PER  LANE - 2016,,,,,,,,,,
ON  PRINCIPAL  ARTERIALS,,,,,,,,,,
,,,,,,,,,,
"September 18, 2017                                ",,,,,,,,,TABLE HM-62,
,RURAL,,,,URBAN,,,,,
,,OTHER,OTHER,ALL,,OTHER,OTHER,ALL,ALL,
STATE,INTERSTATE,FREEWAYS  AND,PRINCIPAL,PRINCIPAL,INTERSTATE,FREEWAYS  AND,PRINCIPAL,PRINCIPAL,PRINCIPAL,
,,EXPRESSWAYS,ARTERIAL,ARTERIALS,,EXPRESSWAYS,ARTERIAL,ARTERIALS,ARTERIALS,
Alabama," 7,226 ", -," 2,420 "," 3,485 "," 11,173 "," 10,505 "," 5,364 "," 6,854 "," 4,866 ",
Alaska," 1,066 ", -, 533 , 829 , 829 ," 6,705 ", -," 5,807 "," 1,368 ",
Arizona," 4,778 "," 1,175 "," 2,650 "," 3,547 "," 3,547 "," 12,665 "," 12,901 "," 8,370 "," 5,377 ",
Arkansas," 6,222 "," 2,610 "," 2,007 "," 2,793 "," 2,793 "," 9,872 "," 5,983 "," 6,282 "," 3,845 ",
California," 7,522 "," 8,825 "," 3,223 "," 4,712 "," 4,712 "," 20,148 "," 17,297 "," 10,348 "," 8,463 ",
Colorado," 4,792 "," 6,038 "," 1,919 "," 2,528 "," 2,528 "," 15,593 "," 10,648 "," 8,770 "," 4,671 ",
Connecticut," 8,421 "," 5,705 "," 4,839 "," 5,570 "," 5,570 "," 15,484 "," 11,495 "," 9,207 "," 8,749 ",
Delaware, -," 16,709 "," 6,051 "," 7,823 "," 7,823 "," 15,586 "," 12,390 "," 9,553 "," 8,954 ",
District of Columbia, -, -, -, -, -," 19,377 "," 14,489 "," 8,851 "," 8,851 ",
Florida," 7,985 "," 8,047 "," 3,078 "," 4,329 "," 4,329 "," 16,279 "," 13,559 "," 8,964 "," 7,122 ",
Georgia," 8,077 ", -," 2,221 "," 3,291 "," 3,291 "," 15,093 "," 11,583 "," 7,771 "," 5,657 ",
Hawaii, -, -," 5,737 "," 5,737 "," 5,737 "," 15,548 "," 8,706 "," 8,526 "," 8,022 ",
Idaho," 3,429 "," 2,791 "," 1,447 "," 1,961 "," 1,961 "," 9,179 "," 5,011 "," 5,871 "," 2,726 ",
Illinois," 4,835 "," 2,448 "," 2,094 "," 3,033 "," 3,033 "," 12,565 "," 6,303 "," 7,031 "," 5,111 ",
Indiana," 6,700 "," 3,698 "," 3,021 "," 4,281 "," 4,281 "," 12,134 "," 5,544 "," 6,615 "," 5,445 ",
Iowa," 5,625 ", -," 1,811 "," 2,392 "," 2,392 "," 9,988 ", -," 4,644 "," 2,871 ",
Kansas," 3,854 "," 2,240 "," 1,604 "," 2,066 "," 2,066 "," 9,310 "," 6,560 "," 6,051 "," 2,738 ",
Kentucky," 7,416 "," 2,659 "," 2,775 "," 3,990 "," 3,990 "," 14,447 "," 7,859 "," 7,605 "," 5,030 ",
