WEIGHTED  AVERAGE  DAILY  TRAFFIC  PER  LANE - 2017,,,,,,,,,,
ON  PRINCIPAL  ARTERIALS,,,,,,,,,,
,,,,,,,,,,
"August 23, 2018                                   ",,,,,,,,,TABLE HM-62,
,RURAL,,,,URBAN,,,,,
,,OTHER,OTHER,ALL,,OTHER,OTHER,ALL,ALL,
STATE,INTERSTATE,FREEWAYS  AND,PRINCIPAL,PRINCIPAL,INTERSTATE,FREEWAYS  AND,PRINCIPAL,PRINCIPAL,PRINCIPAL,
,,EXPRESSWAYS,ARTERIAL,ARTERIALS,,EXPRESSWAYS,ARTERIAL,ARTERIALS,ARTERIALS,
Alabama," 7,377 ", -," 2,448 "," 3,530 "," 11,518 "," 10,592 "," 5,426 "," 7,008 "," 4,935 ",
Alaska," 1,013 ", -, 521 , 795 , 795 ," 6,453 ", -," 5,643 "," 1,319 ",
Arizona," 4,989 "," 1,207 "," 2,685 "," 3,658 "," 3,658 "," 13,054 "," 13,321 "," 8,379 "," 5,450 ",
Arkansas," 6,616 "," 2,932 "," 2,032 "," 2,902 "," 2,902 "," 9,846 "," 6,087 "," 6,338 "," 3,943 ",
California," 7,521 "," 8,825 "," 3,227 "," 4,714 "," 4,714 "," 20,171 "," 17,290 "," 10,103 "," 8,301 ",
Colorado," 4,876 "," 6,150 "," 2,007 "," 2,616 "," 2,616 "," 15,824 "," 10,454 "," 8,835 "," 4,751 ",
Connecticut," 8,638 "," 5,791 "," 4,670 "," 5,496 "," 5,496 "," 15,408 "," 11,553 "," 9,154 "," 8,687 ",
Delaware, -," 18,581 "," 6,102 "," 7,977 "," 7,977 "," 16,620 "," 12,945 "," 9,701 "," 9,210 ",
District of Columbia, -, -, -, -, -," 20,114 "," 15,129 "," 9,183 "," 9,183 ",
Florida," 8,143 "," 7,989 "," 3,155 "," 4,415 "," 4,415 "," 16,195 "," 13,675 "," 9,043 "," 7,204 ",
Georgia," 8,359 ", -," 2,114 "," 3,248 "," 3,248 "," 14,821 "," 11,946 "," 7,843 "," 5,658 ",
Hawaii, -, -," 5,998 "," 5,998 "," 5,998 "," 15,561 "," 8,333 "," 8,444 "," 8,002 ",
Idaho," 3,521 "," 2,938 "," 1,467 "," 2,004 "," 2,004 "," 9,434 "," 5,157 "," 5,971 "," 2,772 ",
Illinois," 5,130 "," 2,447 "," 2,051 "," 3,107 "," 3,107 "," 13,254 "," 6,417 "," 7,217 "," 5,243 ",
Indiana," 6,691 "," 3,865 "," 2,963 "," 4,204 "," 4,204 "," 12,142 "," 5,780 "," 6,646 "," 5,408 ",
Iowa," 5,717 ", -," 1,836 "," 2,425 "," 2,425 "," 10,290 ", -," 4,630 "," 2,893 ",
Kansas," 3,908 "," 2,267 "," 1,610 "," 2,083 "," 2,083 "," 9,403 "," 6,991 "," 6,179 "," 2,773 ",
Kentucky," 7,328 "," 2,633 "," 2,771 "," 3,958 "," 3,958 "," 14,538 "," 8,096 "," 7,666 "," 5,027 ",
