WEIGHTED  AVERAGE  DAILY  TRAFFIC  PER  LANE - 2019,,,,,,,,,
ON  PRINCIPAL  ARTERIALS,,,,,,,,,
,,,,,,,,,
"September 30, 2020                                ",,,,,,,,,TABLE HM-62
,RURAL,,,,URBAN,,,,
,,OTHER,OTHER,ALL,,OTHER,OTHER,ALL,ALL
STATE,INTERSTATE,FREEWAYS  AND,PRINCIPAL,PRINCIPAL,INTERSTATE,FREEWAYS  AND,PRINCIPAL,PRINCIPAL,PRINCIPAL
,,EXPRESSWAYS,ARTERIAL,ARTERIALS,,EXPRESSWAYS,ARTERIAL,ARTERIALS,ARTERIALS
Alabama," 7,480 ", -," 2,492 "," 3,587 "," 11,345 "," 10,151 "," 5,418 "," 6,947 "," 4,952 "
Alaska," 1,005 ", -, 479 , 771 , 771 ," 6,573 ", -," 5,635 "," 1,298 "
Arizona," 5,219 "," 3,518 "," 2,749 "," 3,785 "," 3,785 "," 13,468 "," 12,523 "," 8,291 "," 5,506 "
Arkansas," 6,721 "," 3,046 "," 2,009 "," 2,907 "," 2,907 "," 10,106 "," 6,310 "," 6,361 "," 3,956 "
California," 7,985 "," 9,613 "," 3,401 "," 5,029 "," 5,029 "," 20,330 "," 17,652 "," 9,498 "," 7,938 "
Colorado," 5,058 "," 6,454 "," 2,067 "," 2,702 "," 2,702 "," 16,363 "," 10,880 "," 9,025 "," 4,873 "
Connecticut," 8,867 "," 6,091 "," 4,669 "," 5,587 "," 5,587 "," 15,307 "," 12,028 "," 9,200 "," 8,738 "
Delaware, -," 8,226 "," 6,016 "," 6,520 "," 6,520 "," 16,256 "," 12,367 "," 9,418 "," 8,534 "
District of Columbia, -, -, -, -, -," 20,911 "," 16,133 "," 9,497 "," 9,497 "
Florida," 8,233 "," 9,149 "," 3,265 "," 4,576 "," 4,576 "," 16,614 "," 14,270 "," 9,245 "," 7,393 "
Georgia," 8,462 ", -," 2,308 "," 3,423 "," 3,423 "," 14,454 "," 12,534 "," 7,941 "," 5,782 "
Hawaii, -, -," 6,122 "," 6,122 "," 6,122 "," 16,718 "," 8,989 "," 8,898 "," 8,400 "
Idaho," 3,662 "," 3,097 "," 1,540 "," 2,101 "," 2,101 "," 9,866 "," 5,359 "," 6,248 "," 2,902 "
Illinois," 5,100 "," 2,295 "," 2,017 "," 3,070 "," 3,070 "," 12,858 "," 6,246 "," 7,120 "," 5,174 "
Indiana," 6,978 "," 4,139 "," 2,879 "," 4,051 "," 4,051 "," 11,647 "," 5,839 "," 6,504 "," 5,166 "
Iowa," 5,834 ", -," 1,838 "," 2,447 "," 2,447 "," 9,867 ", -," 4,612 "," 2,909 "
Kansas," 3,899 "," 2,376 "," 1,627 "," 2,105 "," 2,105 "," 9,207 "," 6,904 "," 6,092 "," 2,769 "
Kentucky," 6,745 "," 2,770 "," 2,824 "," 4,005 "," 4,005 "," 14,111 "," 8,445 "," 7,586 "," 5,034 "
