WEIGHTED  AVERAGE  DAILY  TRAFFIC  PER  LANE - 2020,,,,,,,,,
ON  PRINCIPAL  ARTERIALS,,,,,,,,,
,,,,,,,,,
"October 26, 2021                                ",,,,,,,,,TABLE HM-62
,RURAL,,,,URBAN,,,,
,,OTHER,OTHER,ALL,,OTHER,OTHER,ALL,ALL
STATE,INTERSTATE,FREEWAYS  AND,PRINCIPAL,PRINCIPAL,INTERSTATE,FREEWAYS  AND,PRINCIPAL,PRINCIPAL,PRINCIPAL
,,EXPRESSWAYS,ARTERIAL,ARTERIALS,,EXPRESSWAYS,ARTERIAL,ARTERIALS,ARTERIALS
Alabama," 6,879 ", -," 2,366 "," 3,082 "," 10,163 "," 9,717 "," 5,119 "," 8,333 "," 5,707 "
Alaska, 874 , -, 412 , 429 ," 5,951 ", -," 4,251 "," 3,401 "," 1,915 "
Arizona," 4,947 "," 3,559 "," 2,574 "," 3,694 "," 11,979 "," 10,996 "," 5,231 "," 9,402 "," 6,548 "
Arkansas," 5,809 "," 2,590 "," 1,817 "," 3,406 "," 9,274 "," 5,299 "," 4,042 "," 6,205 "," 4,805 "
California," 7,449 "," 8,976 "," 3,252 "," 6,559 "," 18,220 "," 15,926 "," 5,087 "," 13,078 "," 9,818 "
Colorado," 4,622 "," 5,481 "," 1,962 "," 4,022 "," 13,925 "," 8,664 "," 5,611 "," 9,400 "," 6,711 "
Connecticut," 8,707 "," 6,099 "," 3,965 "," 6,257 "," 14,318 "," 12,125 "," 5,029 "," 10,491 "," 8,374 "
Delaware, -," 6,518 "," 4,792 "," 3,770 "," 12,894 "," 9,744 "," 6,046 "," 9,561 "," 6,666 "
District of Columbia, -, -, -, -," 16,179 "," 13,573 "," 5,293 "," 11,682 "," 5,841 "
Florida," 7,444 "," 7,831 "," 3,078 "," 6,118 "," 14,886 "," 12,112 "," 6,521 "," 11,173 "," 8,646 "
Georgia," 7,547 ", -," 2,262 "," 3,270 "," 13,132 "," 10,165 "," 5,229 "," 9,508 "," 6,389 "
Hawaii, -, -," 4,223 "," 1,408 "," 13,323 "," 7,261 "," 5,834 "," 8,806 "," 5,107 "
Idaho," 3,412 "," 4,074 "," 1,580 "," 3,022 "," 9,107 "," 5,406 "," 5,219 "," 6,577 "," 4,800 "
Illinois," 4,390 "," 2,156 "," 1,894 "," 2,813 "," 10,923 "," 5,244 "," 4,515 "," 6,894 "," 4,854 "
Indiana," 5,967 "," 3,690 "," 2,666 "," 4,108 "," 10,024 "," 5,224 "," 4,493 "," 6,580 "," 5,344 "
Iowa," 4,973 ", -," 1,634 "," 2,203 "," 8,256 ", -," 3,140 "," 3,799 "," 3,001 "
Kansas," 3,481 "," 2,195 "," 1,479 "," 2,385 "," 7,739 "," 6,090 "," 2,845 "," 5,558 "," 3,972 "
Kentucky," 6,148 "," 2,571 "," 2,653 "," 3,791 "," 12,994 "," 8,239 "," 4,704 "," 8,646 "," 6,218 "
