WEIGHTED  AVERAGE  DAILY  TRAFFIC  PER  LANE - 2021  (1),,,,,,,,,
ON  PRINCIPAL  ARTERIALS,,,,,,,,,
,,,,,,,,,
"March 1, 2023",,,,,,,,,TABLE HM-62
,RURAL,,,,URBAN,,,,
,,OTHER,OTHER,ALL,,OTHER,OTHER,ALL,ALL
STATE,INTERSTATE,FREEWAYS  AND,PRINCIPAL,PRINCIPAL,INTERSTATE,FREEWAYS  AND,PRINCIPAL,PRINCIPAL,PRINCIPAL
,,EXPRESSWAYS,ARTERIAL,ARTERIALS,,EXPRESSWAYS,ARTERIAL,ARTERIALS,ARTERIALS
Alabama," 7,628 ",," 2,498 "," 3,375 "," 11,087 "," 9,274 "," 5,407 "," 8,589 "," 5,982 "
Alaska," 1,009 ",, 467 , 492 ," 6,491 ",," 4,739 "," 3,743 "," 2,118 "
Arizona," 5,636 "," 3,951 "," 2,905 "," 4,164 "," 13,991 "," 13,026 "," 5,668 "," 10,895 "," 7,530 "
Arkansas," 7,152 "," 3,377 "," 2,031 "," 4,187 "," 10,871 "," 6,423 "," 4,547 "," 7,280 "," 5,734 "
California," 8,183 "," 9,397 "," 3,368 "," 6,983 "," 18,914 "," 16,638 "," 5,199 "," 13,584 "," 10,283 "
Colorado," 5,220 "," 6,209 "," 2,164 "," 4,531 "," 15,818 "," 9,743 "," 6,112 "," 10,558 "," 7,544 "
Connecticut," 8,492 "," 5,781 "," 4,023 "," 6,099 "," 14,606 "," 11,334 "," 4,872 "," 10,271 "," 8,185 "
Delaware,," 9,462 "," 6,348 "," 5,270 "," 15,048 "," 12,326 "," 7,477 "," 11,617 "," 8,443 "
District of Columbia,,,, -," 18,253 "," 13,983 "," 5,717 "," 12,651 "," 6,326 "
Florida," 8,395 "," 7,685 "," 3,307 "," 6,462 "," 15,759 "," 12,517 "," 6,790 "," 11,689 "," 9,075 "
Georgia," 8,279 ",," 2,176 "," 3,485 "," 14,432 "," 10,841 "," 5,224 "," 10,166 "," 6,826 "
Hawaii,,," 5,311 "," 1,770 "," 14,600 "," 8,009 "," 6,681 "," 9,763 "," 5,767 "
Idaho," 3,916 "," 4,640 "," 1,775 "," 3,444 "," 10,371 "," 6,071 "," 5,715 "," 7,386 "," 5,415 "
Illinois," 5,192 "," 2,281 "," 1,957 "," 3,144 "," 12,154 "," 5,752 "," 4,884 "," 7,597 "," 5,370 "
Indiana," 6,698 "," 4,053 "," 2,887 "," 4,546 "," 11,316 "," 5,947 "," 4,777 "," 7,347 "," 5,947 "
Iowa," 5,869 ",," 1,816 "," 2,562 "," 9,225 ",," 3,421 "," 4,216 "," 3,389 "
Kansas," 4,120 "," 2,289 "," 1,615 "," 2,675 "," 8,877 "," 6,702 "," 3,096 "," 6,225 "," 4,450 "
Kentucky," 6,884 "," 2,746 "," 2,698 "," 4,109 "," 13,559 "," 8,748 "," 4,852 "," 9,053 "," 6,581 "
