PUBLIC  ROAD  LENGTH - 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MILES  BY  FUNCTIONAL SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DECEMBER 2016,,,,,,,,,,,,,,,,,TABLE HM-20,,,,,,,,,,,,,,,,,,
,RURAL,,,,,,,,URBAN,,,,,,,,,,,,,,,,,,,,,,,,,,
,,OTHER,OTHER,,,,,,,OTHER,OTHER,,,,,,,,,,,,,,,,,,,,,,,,
STATE,INTERSTATE,FREEWAYS  AND,PRINCIPAL,MINOR,MAJOR,MINOR,LOCAL,TOTAL,INTERSTATE,FREEWAYS  AND,PRINCIPAL,MINOR,MAJOR,MINOR,LOCAL,TOTAL,TOTAL,,,,,,,,,,,,,,,,,,
,,EXPRESSWAYS,ARTERIAL,ARTERIAL,COLLECTOR,COLLECTOR,,,,EXPRESSWAYS,ARTERIAL,ARTERIAL,COLLECTOR,COLLECTOR,,,,,,,,,,,,,,,,,,,,,
Alabama, 571 , -," 2,035 "," 4,015 "," 12,201 "," 6,636 "," 50,330 "," 75,788 ", 430 , 27 ," 1,298 "," 2,345 "," 3,622 ", 186 ," 18,324 "," 26,231 "," 102,019 ",,,,,,,,,,,,,,,,,,
Alaska," 1,002 ", -, 802 , 431 ," 1,598 "," 1,209 "," 8,254 "," 13,296 ", 79 , -, 136 , 203 , 252 , 236 ," 1,927 "," 2,833 "," 16,129 ",,,,,,,,,,,,,,,,,,
Arizona, 917 , 18 ," 1,210 "," 1,284 "," 4,204 "," 1,882 "," 30,285 "," 39,800 ", 252 , 214 , 843 ," 2,635 "," 1,943 ", 216 ," 20,219 "," 26,322 "," 66,122 ",,,,,,,,,,,,,,,,,,
Arkansas, 410 , 85 ," 1,897 "," 3,070 "," 11,835 "," 6,889 "," 61,295 "," 85,481 ", 293 , 116 , 630 ," 1,830 "," 2,175 ", 242 ," 11,842 "," 17,128 "," 102,609 ",,,,,,,,,,,,,,,,,,
California," 1,209 ", 408 ," 3,287 "," 6,057 "," 11,816 "," 7,902 "," 55,670 "," 86,349 "," 1,241 "," 1,576 "," 6,579 "," 11,144 "," 13,024 ", 385 ," 75,535 "," 109,485 "," 195,834 ",,,,,,,,,,,,,,,,,,
Colorado, 648 , 28 ," 2,569 "," 3,460 "," 5,448 "," 8,872 "," 47,246 "," 68,271 ", 304 , 324 ," 1,068 "," 1,808 "," 1,856 ", 67 ," 15,042 "," 20,469 "," 88,740 ",,,,,,,,,,,,,,,,,,
Connecticut, 29 , 36 , 119 , 221 , 857 , 417 ," 4,005 "," 5,683 ", 317 , 244 , 710 ," 1,673 "," 1,814 ", 311 ," 10,760 "," 15,829 "," 21,512 ",,,,,,,,,,,,,,,,,,
Delaware, -, 25 , 121 , 105 , 435 , 275 ," 2,048 "," 3,010 ", 41 , 31 , 194 , 204 , 366 , 54 ," 2,515 "," 3,406 "," 6,416 ",,,,,,,,,,,,,,,,,,
