PUBLIC  ROAD  LENGTH - 2017,,,,,,,,,,,,,,,,,,
MILES  BY  FUNCTIONAL SYSTEM,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"August 23, 2018                                   ",,,,,,,,,,,,,,,,,TABLE HM-20,
,RURAL,,,,,,,,URBAN,,,,,,,,,
,,OTHER,OTHER,,,,,,,OTHER,OTHER,,,,,,,
STATE,INTERSTATE,FREEWAYS  AND,PRINCIPAL,MINOR,MAJOR,MINOR,LOCAL,TOTAL,INTERSTATE,FREEWAYS  AND,PRINCIPAL,MINOR,MAJOR,MINOR,LOCAL,TOTAL,TOTAL,
,,EXPRESSWAYS,ARTERIAL,ARTERIAL,COLLECTOR,COLLECTOR,,,,EXPRESSWAYS,ARTERIAL,ARTERIAL,COLLECTOR,COLLECTOR,,,,
Alabama, 571 , -," 2,029 "," 3,978 "," 12,245 "," 6,220 "," 47,362 "," 72,405 ", 433 , 29 ," 1,300 "," 2,382 "," 3,622 ", 186 ," 20,740 "," 28,692 "," 101,097 ",
Alaska," 1,002 ", -, 799 , 431 ," 1,371 "," 1,431 "," 7,647 "," 12,681 ", 79 , -, 140 , 201 , 251 , 235 ," 1,949 "," 2,854 "," 15,535 ",
Arizona, 916 , 18 ," 1,210 "," 1,281 "," 4,206 "," 1,894 "," 30,675 "," 40,200 ", 252 , 215 , 844 ," 2,638 "," 1,933 ", 223 ," 20,253 "," 26,358 "," 66,558 ",
Arkansas, 439 , 72 ," 1,876 "," 3,063 "," 11,870 "," 6,828 "," 61,274 "," 85,422 ", 310 , 102 , 626 ," 1,841 "," 2,210 ", 248 ," 11,843 "," 17,180 "," 102,603 ",
California," 1,186 ", 369 ," 3,260 "," 6,143 "," 11,935 "," 7,540 "," 41,117 "," 71,549 "," 1,270 "," 1,550 "," 6,762 "," 11,040 "," 12,612 ", 299 ," 71,132 "," 104,665 "," 176,214 ",
Colorado, 648 , 28 ," 2,569 "," 3,462 "," 5,450 "," 8,838 "," 47,125 "," 68,120 ", 304 , 324 ," 1,068 "," 1,804 "," 1,856 ", 66 ," 15,275 "," 20,698 "," 88,818 ",
Connecticut, 29 , 36 , 122 , 218 , 857 , 419 ," 4,011 "," 5,691 ", 317 , 244 , 712 ," 1,672 "," 1,816 ", 313 ," 10,779 "," 15,853 "," 21,544 ",
Delaware, -, 18 , 99 , 89 , 389 , 259 ," 1,950 "," 2,804 ", 41 , 39 , 215 , 223 , 415 , 71 ," 2,645 "," 3,648 "," 6,452 ",
District of Columbia, -, -, -, -, -, -, -, -, 12 , 16 , 107 , 164 , 156 , -," 1,060 "," 1,514 "," 1,514 ",
Florida, 717 , 176 ," 2,620 "," 2,192 "," 4,025 "," 3,205 "," 23,546 "," 36,481 ", 778 , 574 ," 3,975 "," 4,203 "," 6,454 "," 1,869 "," 68,515 "," 86,368 "," 122,848 ",
