PUBLIC  ROAD  LENGTH - 2019,,,,,,,,,,,,,,,,,,
MILES  BY  FUNCTIONAL SYSTEM,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"September 30, 2020                                ",,,,,,,,,,,,,,,,,TABLE HM-20,
,RURAL,,,,,,,,URBAN,,,,,,,,,
,,OTHER,OTHER,,,,,,,OTHER,OTHER,,,,,,,
STATE,INTERSTATE,FREEWAYS  AND,PRINCIPAL,MINOR,MAJOR,MINOR,LOCAL,TOTAL,INTERSTATE,FREEWAYS  AND,PRINCIPAL,MINOR,MAJOR,MINOR,LOCAL,TOTAL,TOTAL,
,,EXPRESSWAYS,ARTERIAL,ARTERIAL,COLLECTOR,COLLECTOR,,,,EXPRESSWAYS,ARTERIAL,ARTERIAL,COLLECTOR,COLLECTOR,,,,
Alabama, 571 , -," 2,030 "," 3,962 "," 12,254 "," 5,912 "," 46,565 "," 71,294 ", 433 , 33 ," 1,315 "," 2,376 "," 3,617 ", 187 ," 21,430 "," 29,391 "," 100,685 ",
Alaska," 1,002 ", -, 799 , 431 ," 1,370 "," 1,427 "," 9,549 "," 14,578 ", 79 , -, 140 , 201 , 252 , 236 ," 2,250 "," 3,157 "," 17,736 ",
Arizona, 916 , 19 ," 1,263 "," 2,186 "," 3,343 "," 2,961 "," 29,703 "," 40,391 ", 252 , 252 , 854 ," 2,543 "," 2,814 "," 2,665 "," 17,129 "," 26,510 "," 66,901 ",
Arkansas, 439 , 72 ," 1,877 "," 3,067 "," 11,818 "," 6,762 "," 61,286 "," 85,321 ", 310 , 102 , 629 ," 1,833 "," 2,169 ", 240 ," 12,010 "," 17,294 "," 102,615 ",
California," 1,214 ", 416 ," 3,376 "," 6,185 "," 12,052 "," 7,487 "," 40,797 "," 71,526 "," 1,242 "," 1,468 "," 6,626 "," 10,868 "," 12,598 ", 368 ," 70,858 "," 104,029 "," 175,555 ",
Colorado, 648 , 28 ," 2,568 "," 3,473 "," 5,449 "," 8,828 "," 47,176 "," 68,171 ", 304 , 324 ," 1,068 "," 1,811 "," 1,852 ", 66 ," 15,473 "," 20,898 "," 89,069 ",
Connecticut, 29 , 36 , 122 , 218 , 856 , 419 ," 4,010 "," 5,689 ", 318 , 244 , 712 ," 1,672 "," 1,819 ", 316 ," 10,808 "," 15,888 "," 21,577 ",
Delaware, -, 29 , 99 , 89 , 389 , 255 ," 1,991 "," 2,852 ", 41 , 39 , 214 , 223 , 415 , 69 ," 2,646 "," 3,647 "," 6,499 ",
District of Columbia, -, -, -, -, -, -, -, -, 12 , 15 , 107 , 164 , 156 , -," 1,062 "," 1,515 "," 1,515 ",
Florida, 717 , 177 ," 2,616 "," 2,192 "," 4,023 "," 3,205 "," 23,465 "," 36,395 ", 778 , 587 ," 3,971 "," 4,231 "," 6,469 "," 1,880 "," 68,793 "," 86,710 "," 123,104 ",
