PUBLIC  ROAD  LENGTH - 2021  (1),,,,,,,,,,,,,,,,,,
MILES  BY  FUNCTIONAL SYSTEM,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"February 13, 2023                      ",,,,,,,,,,,,,,,,,TABLE HM-20,
,RURAL,,,,,,,,URBAN,,,,,,,,,
,,OTHER,OTHER,,,,,,,OTHER,OTHER,,,,,,,
STATE,INTERSTATE,FREEWAYS  AND,PRINCIPAL,MINOR,MAJOR,MINOR,LOCAL,TOTAL,INTERSTATE,FREEWAYS  AND,PRINCIPAL,MINOR,MAJOR,MINOR,LOCAL,TOTAL,TOTAL,
,,EXPRESSWAYS,ARTERIAL,ARTERIAL,COLLECTOR,COLLECTOR,,,,EXPRESSWAYS,ARTERIAL,ARTERIAL,COLLECTOR,COLLECTOR,,,,
Alabama, 571 , -," 2,051 "," 3,947 "," 12,297 "," 5,924 "," 45,389 "," 70,178 ", 433 , 33 ," 1,294 "," 2,378 "," 3,625 ", 219 ," 22,017 "," 29,999 "," 100,177 ",
Alaska," 1,002 ", -, 799 , 431 ," 1,370 "," 1,439 "," 9,528 "," 14,569 ", 79 , -, 140 , 201 , 252 , 236 ," 2,215 "," 3,122 "," 17,690 ",
Arizona, 916 , 19 ," 1,263 "," 2,186 "," 3,336 "," 2,970 "," 32,470 "," 43,160 ", 252 , 251 , 855 ," 2,539 "," 2,812 "," 2,667 "," 22,248 "," 31,623 "," 74,783 ",
Arkansas, 496 , 72 ," 1,877 "," 3,063 "," 11,817 "," 6,749 "," 58,057 "," 82,129 ", 272 , 97 , 632 ," 1,828 "," 2,173 ", 240 ," 11,961 "," 17,203 "," 99,332 ",
California," 1,208 ", 408 ," 3,396 "," 6,271 "," 12,489 "," 7,685 "," 43,484 "," 74,942 "," 1,248 "," 1,488 "," 6,697 "," 10,556 "," 12,834 ", 223 ," 69,313 "," 102,358 "," 177,300 ",
Colorado, 648 , 28 ," 2,569 "," 3,474 "," 5,457 "," 8,824 "," 47,275 "," 68,274 ", 304 , 325 ," 1,068 "," 1,809 "," 1,856 ", 67 ," 15,683 "," 21,111 "," 89,385 ",
Connecticut, 29 , 36 , 122 , 218 , 861 , 419 ," 3,872 "," 5,556 ", 318 , 244 , 712 ," 1,672 "," 1,818 ", 318 ," 10,725 "," 15,807 "," 21,363 ",
Delaware, -, 36 , 104 , 90 , 395 , 256 ," 2,004 "," 2,885 ", 41 , 32 , 210 , 224 , 412 , 69 ," 2,671 "," 3,659 "," 6,544 ",
District of Columbia, -, -, -, -, -, -, -, -, 12 , 16 , 107 , 164 , 155 , -," 1,065 "," 1,520 "," 1,520 ",
Florida, 717 , 175 ," 2,618 "," 2,192 "," 4,023 "," 3,203 "," 23,496 "," 36,424 ", 778 , 602 ," 3,953 "," 4,231 "," 6,469 "," 1,881 "," 69,313 "," 87,228 "," 123,652 ",
