FUNCTIONAL  SYSTEM  TRAVEL - 2011  (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANNUAL  VEHICLE - MILES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAY 2020,,,,,,,,( MILLIONS ),,,,,,,,,TABLE  VM-2,,,,,,,,,,,,,,,,,,,
,RURAL,,,,,,,,URBAN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,OTHER,OTHER,,,,,,,OTHER,OTHER,,,,,,,,,,,,,,,,,,,,,,,,,
STATE,INTERSTATE,FREEWAYS  AND,PRINCIPAL,MINOR,MAJOR,MINOR,LOCAL,TOTAL,INTERSTATE,FREEWAYS  AND,PRINCIPAL,MINOR,MAJOR,MINOR,LOCAL,TOTAL,TOTAL,,,,,,,,,,,,,,,,,,,
,,EXPRESSWAYS,ARTERIAL,ARTERIAL,COLLECTOR,COLLECTOR,,,,EXPRESSWAYS,ARTERIAL,ARTERIAL,COLLECTOR,COLLECTOR,,,,,,,,,,,,,,,,,,,,,,
Alabama," 5,715 ", 354 ," 5,995 "," 4,669 "," 5,218 "," 1,660 "," 6,747 "," 30,358 "," 7,453 ", 683 ," 7,733 "," 6,371 "," 3,725 ", 0 ," 8,592 "," 34,556 "," 64,914 ",,,,,,,,,,,,,,,,,,,
Alaska, 870 , -, 280 , 149 , 299 , 151 , 423 ," 2,173 ", 659 , -, 748 , 463 , -, 263 , 287 ," 2,420 "," 4,593 ",,,,,,,,,,,,,,,,,,,
Arizona," 7,000 ", 93 ," 3,369 "," 1,750 "," 2,889 ", 463 ," 1,615 "," 17,179 "," 6,008 "," 7,407 "," 12,212 "," 7,645 "," 3,078 ", 0 ," 6,045 "," 42,396 "," 59,575 ",,,,,,,,,,,,,,,,,,,
Arkansas," 4,423 ", 520 ," 3,848 "," 2,823 "," 4,012 ", 728 ," 2,079 "," 18,432 "," 4,063 ", 915 ," 3,628 "," 3,128 "," 1,279 ", 34 ," 1,475 "," 14,521 "," 32,953 ",,,,,,,,,,,,,,,,,,,
California," 16,941 ", -," 15,726 "," 9,109 "," 9,541 "," 2,598 "," 2,350 "," 56,265 "," 67,740 "," 53,583 "," 59,289 "," 48,445 "," 18,438 ", -," 17,024 "," 264,519 "," 320,784 ",,,,,,,,,,,,,,,,,,,
Colorado," 4,297 ", 314 ," 3,779 "," 2,357 "," 1,885 ", 743 ," 1,486 "," 14,860 "," 7,584 "," 4,525 "," 8,895 "," 5,034 "," 2,533 ", -," 3,175 "," 31,746 "," 46,606 ",,,,,,,,,,,,,,,,,,,
Connecticut, 699 , 328 , 484 , 510 , 939 , 157 , 791 ," 3,909 "," 9,532 "," 3,840 "," 3,708 "," 5,114 "," 2,589 ", 23 ," 2,482 "," 27,288 "," 31,197 ",,,,,,,,,,,,,,,,,,,
