FUNCTIONAL  SYSTEM  TRAVEL - 2012 (1),,,,,,,,,,,,,,,,,
ANNUAL  VEHICLE - MILES,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
MAY 2020,,,,,,,,( MILLIONS ),,,,,,,,,TABLE  VM-2
,RURAL,,,,,,,,URBAN,,,,,,,,
,,OTHER,OTHER,,,,,,,OTHER,OTHER,,,,,,
STATE,INTERSTATE,FREEWAYS  AND,PRINCIPAL,MINOR,MAJOR,MINOR,LOCAL,TOTAL,INTERSTATE,FREEWAYS  AND,PRINCIPAL,MINOR,MAJOR,MINOR,LOCAL,TOTAL,TOTAL
,,EXPRESSWAYS,ARTERIAL,ARTERIAL,COLLECTOR,COLLECTOR,,,,EXPRESSWAYS,ARTERIAL,ARTERIAL,COLLECTOR,COLLECTOR,,,
Alabama," 6,061 ", 0 ," 6,040 "," 4,624 "," 5,108 "," 1,643 "," 6,708 "," 30,185 "," 7,648 ", 644 ," 7,648 "," 6,548 "," 3,734 ", 11 ," 8,541 "," 34,774 "," 64,959 "
Alaska," 1,022 ", -, 316 , 173 , 308 , 165 , 315 ," 2,299 ", 531 , -, 914 , 517 , 17 , 291 , 223 ," 2,493 "," 4,792 "
Arizona," 6,975 ", 114 ," 3,364 "," 1,723 "," 2,845 ", 430 ," 1,617 "," 17,068 "," 5,983 "," 7,384 "," 12,787 "," 7,816 "," 3,139 ", 0 ," 5,951 "," 43,061 "," 60,129 "
Arkansas," 4,230 ", 534 ," 3,932 "," 2,836 "," 3,954 ", 710 ," 2,109 "," 18,306 "," 4,250 "," 1,049 "," 3,767 "," 3,192 "," 1,331 ", 45 ," 1,583 "," 15,216 "," 33,522 "
California," 17,612 ", 0 ," 15,898 "," 9,270 "," 9,269 "," 2,627 "," 2,844 "," 57,520 "," 68,750 "," 54,130 "," 59,983 "," 49,086 "," 19,108 ", -," 17,695 "," 268,752 "," 326,272 "
Colorado," 4,362 ", 313 ," 3,759 "," 2,340 "," 1,926 ", 747 ," 1,494 "," 14,943 "," 7,660 "," 4,578 "," 8,828 "," 5,059 "," 2,518 ", -," 3,183 "," 31,826 "," 46,769 "
Connecticut, 705 , 333 , 482 , 503 , 942 , 152 , 763 ," 3,879 "," 9,650 "," 3,938 "," 3,723 "," 5,022 "," 2,591 ", 22 ," 2,444 "," 27,390 "," 31,269 "
Delaware, -, 1 ," 1,405 ", 334 , 621 , 115 , 494 ," 2,970 "," 1,309 ", 498 ," 1,830 ", 986 , 731 , -, 861 ," 6,216 "," 9,186 "
District of Columbia, -, -, -, -, -, 0 , 0 , 0 , 410 , 340 ," 1,062 ", 717 , 275 , -, 768 ," 3,572 "," 3,572 "
Florida," 9,364 "," 1,841 "," 7,736 "," 3,828 "," 3,626 "," 1,668 "," 6,442 "," 34,505 "," 25,311 "," 11,641 "," 38,383 "," 26,733 "," 18,309 ", -," 36,491 "," 156,869 "," 191,374 "
