FUNCTIONAL  SYSTEM  TRAVEL - 2013  (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANNUAL  VEHICLE - MILES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAY 2020,,,,,,,,( MILLIONS ),,,,,,,,,TABLE  VM-2,,,,,,,,,,,,,,,,
,RURAL,,,,,,,,URBAN,,,,,,,,,,,,,,,,,,,,,,,,
,,OTHER,OTHER,,,,,,,OTHER,OTHER,,,,,,,,,,,,,,,,,,,,,,
STATE,INTERSTATE,FREEWAYS  AND,PRINCIPAL,MINOR,MAJOR,MINOR,LOCAL,TOTAL,INTERSTATE,FREEWAYS  AND,PRINCIPAL,MINOR,MAJOR,MINOR,LOCAL,TOTAL,TOTAL,,,,,,,,,,,,,,,,
,,EXPRESSWAYS,ARTERIAL,ARTERIAL,COLLECTOR,COLLECTOR,,,,EXPRESSWAYS,ARTERIAL,ARTERIAL,COLLECTOR,COLLECTOR,,,,,,,,,,,,,,,,,,,
Alabama," 6,114 ", 0 ," 6,230 "," 4,660 "," 4,950 "," 1,644 "," 6,705 "," 30,303 "," 7,789 ", 599 ," 8,146 "," 6,239 "," 3,521 ", 9 ," 8,440 "," 34,743 "," 65,046 ",,,,,,,,,,,,,,,,
Alaska," 1,051 ", -, 319 , 172 , 334 , 154 , 296 ," 2,326 ", 542 , -, 919 , 512 , 206 , 118 , 226 ," 2,523 "," 4,848 ",,,,,,,,,,,,,,,,
Arizona," 5,918 ", 40 ," 2,948 "," 1,319 "," 2,320 ", 339 ," 1,350 "," 14,234 "," 6,899 "," 7,220 "," 13,293 "," 8,590 "," 3,730 ", 98 ," 6,522 "," 46,353 "," 60,586 ",,,,,,,,,,,,,,,,
Arkansas," 3,620 ", 374 ," 3,456 "," 2,468 "," 3,414 ", 648 ," 2,099 "," 16,079 "," 4,940 "," 1,143 "," 4,015 "," 3,670 "," 1,761 ", 104 ," 1,781 "," 17,415 "," 33,493 ",,,,,,,,,,,,,,,,
California," 15,158 ", 803 ," 12,754 "," 8,475 "," 9,259 "," 2,584 "," 2,794 "," 51,827 "," 70,835 "," 54,442 "," 64,159 "," 50,547 "," 19,225 ", 16 ," 18,483 "," 277,707 "," 329,534 ",,,,,,,,,,,,,,,,
Colorado," 4,312 ", 312 ," 4,209 "," 1,972 "," 1,814 ", 742 ," 1,484 "," 14,844 "," 7,773 "," 4,611 "," 8,254 "," 5,818 "," 2,455 ", -," 3,212 "," 32,124 "," 46,968 ",,,,,,,,,,,,,,,,
Connecticut, 711 , 328 , 472 , 497 , 921 , 160 , 728 ," 3,817 "," 9,595 "," 3,932 "," 3,647 "," 4,961 "," 2,557 ", 23 ," 2,409 "," 27,124 "," 30,941 ",,,,,,,,,,,,,,,,
Delaware, -, -," 1,451 ", 349 , 624 , 118 , 511 ," 3,053 "," 1,278 ", 518 ," 1,850 "," 1,005 ", 726 , -, 879 ," 6,254 "," 9,308 ",,,,,,,,,,,,,,,,
