FUNCTIONAL  SYSTEM  TRAVEL - 2017 (1),,,,,,,,,,,,,,,,,,
ANNUAL  VEHICLE - MILES,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
MAY 2020,,,,,,,,( MILLIONS ),,,,,,,,,TABLE  VM-2,
,RURAL,,,,,,,,URBAN,,,,,,,,,
,,OTHER,OTHER,,,,,,,OTHER,OTHER,,,,,,,
STATE,INTERSTATE,FREEWAYS  AND,PRINCIPAL,MINOR,MAJOR,MINOR,LOCAL,TOTAL,INTERSTATE,FREEWAYS  AND,PRINCIPAL,MINOR,MAJOR,MINOR,LOCAL,TOTAL,TOTAL,
,,EXPRESSWAYS,ARTERIAL,ARTERIAL,COLLECTOR,COLLECTOR,,,,EXPRESSWAYS,ARTERIAL,ARTERIAL,COLLECTOR,COLLECTOR,,,,
Alabama," 6,511 ", -," 5,584 "," 4,501 "," 4,392 "," 1,381 "," 6,315 "," 28,683 "," 9,278 ", 555 ," 9,799 "," 7,227 "," 4,258 ", 64 ," 10,814 "," 41,994 "," 70,677 ",
Alaska, 851 , -, 318 , 126 , 295 , 173 , 559 ," 2,323 ", 737 , -, 945 , 527 , 241 , 115 , 631 ," 3,196 "," 5,519 ",
Arizona," 6,819 ", 31 ," 3,435 "," 1,433 "," 2,407 ", 470 ," 1,403 "," 15,999 "," 7,786 "," 8,009 "," 7,953 "," 14,899 "," 3,761 ", 143 ," 6,520 "," 49,071 "," 65,070 ",
Arkansas," 4,230 ", 308 ," 3,726 "," 2,853 "," 3,599 ", 672 ," 2,202 "," 17,590 "," 5,480 ", 975 ," 3,801 "," 4,598 "," 1,874 ", 72 ," 2,000 "," 18,799 "," 36,389 ",
California," 15,272 "," 4,876 "," 10,156 "," 7,727 "," 8,210 "," 2,540 "," 5,921 "," 54,702 "," 74,313 "," 61,721 "," 56,868 "," 49,413 "," 23,918 ", 315 ," 22,614 "," 289,160 "," 343,862 ",
Colorado," 4,756 ", 269 ," 4,385 "," 2,096 "," 1,857 ", 786 ," 1,572 "," 15,722 "," 9,601 "," 5,538 "," 9,431 "," 6,470 "," 2,807 ", 47 ," 3,766 "," 37,660 "," 53,382 ",
Connecticut, 478 , 300 , 438 , 402 , 810 , 145 , 571 ," 3,144 "," 9,813 "," 4,194 "," 3,781 "," 5,175 "," 2,602 ", 240 ," 2,550 "," 28,356 "," 31,500 ",
Delaware, -, 500 , 725 , 266 , 535 , 170 , 417 ," 2,613 "," 1,531 ", 777 ," 2,369 "," 1,173 ", 911 , 70 ," 1,023 "," 7,854 "," 10,467 ",
District of Columbia, -, -, -, -, -, -, -, -, 491 , 397 ," 1,055 ", 723 , 276 , -, 774 ," 3,716 "," 3,716 ",
Florida," 10,585 "," 2,024 "," 8,454 "," 3,824 "," 3,759 "," 1,671 "," 5,596 "," 35,912 "," 30,287 "," 14,997 "," 45,566 "," 29,288 "," 19,780 "," 3,626 "," 39,372 "," 182,914 "," 218,826 ",
