FUNCTIONAL  SYSTEM  TRAVEL - 2018 (1),,,,,,,,,,,,,,,,,,
ANNUAL  VEHICLE - MILES,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"August 30, 2019                                   ",,,,,,,,( MILLIONS ),,,,,,,,,TABLE  VM-2,
,RURAL,,,,,,,,URBAN,,,,,,,,,
,,OTHER,OTHER,,,,,,,OTHER,OTHER,,,,,,,
STATE,INTERSTATE,FREEWAYS  AND,PRINCIPAL,MINOR,MAJOR,MINOR,LOCAL,TOTAL,INTERSTATE,FREEWAYS  AND,PRINCIPAL,MINOR,MAJOR,MINOR,LOCAL,TOTAL,TOTAL,
,,EXPRESSWAYS,ARTERIAL,ARTERIAL,COLLECTOR,COLLECTOR,,,,EXPRESSWAYS,ARTERIAL,ARTERIAL,COLLECTOR,COLLECTOR,,,,
Alabama," 6,556 ", -," 5,615 "," 4,514 "," 4,377 "," 1,386 "," 6,341 "," 28,788 "," 9,278 ", 550 ," 9,747 "," 7,275 "," 4,235 ", 65 ," 11,228 "," 42,379 "," 71,167 ",
Alaska, 827 , -, 309 , 117 , 318 , 178 , 527 ," 2,277 ", 753 , -, 931 , 525 , 247 , 116 , 638 ," 3,211 "," 5,487 ",
Arizona," 6,751 ", 82 ," 3,629 "," 1,495 "," 2,473 ", 508 ," 1,405 "," 16,343 "," 7,888 "," 8,539 "," 8,070 "," 14,980 "," 3,659 ", 142 ," 6,523 "," 49,802 "," 66,145 ",
Arkansas," 4,265 ", 327 ," 3,727 "," 2,878 "," 3,623 ", 694 ," 2,273 "," 17,787 "," 5,521 ", 985 ," 3,739 "," 4,576 "," 1,898 ", 76 ," 2,094 "," 18,888 "," 36,675 ",
California," 16,224 "," 5,043 "," 10,538 "," 8,133 "," 9,690 "," 1,769 "," 7,035 "," 58,432 "," 75,786 "," 62,937 "," 54,211 "," 48,803 "," 24,646 ", 808 ," 23,173 "," 290,364 "," 348,796 ",
Colorado," 4,846 ", 274 ," 4,415 "," 2,099 "," 1,876 ", 795 ," 1,590 "," 15,894 "," 9,812 "," 5,665 "," 9,495 "," 6,417 "," 2,817 ", 47 ," 3,805 "," 38,059 "," 53,954 ",
Connecticut, 487 , 304 , 435 , 409 , 820 , 147 , 558 ," 3,159 "," 9,902 "," 4,210 "," 3,796 "," 5,162 "," 2,609 ", 244 ," 2,513 "," 28,437 "," 31,596 ",
Delaware, -, 321 , 720 , 261 , 574 , 170 , 424 ," 2,470 "," 1,490 ", 723 ," 2,353 "," 1,167 ", 871 , 68 ," 1,038 "," 7,710 "," 10,179 ",
District of Columbia, -, -, -, -, -, -, -, -, 502 , 376 ," 1,055 ", 703 , 280 , -, 774 ," 3,691 "," 3,691 ",
Florida," 10,981 "," 2,244 "," 8,574 "," 3,924 "," 3,858 "," 1,541 "," 5,620 "," 36,742 "," 30,592 "," 15,535 "," 45,557 "," 29,795 "," 20,355 "," 3,753 "," 39,488 "," 185,074 "," 221,816 ",
