FUNCTIONAL  SYSTEM  TRAVEL - 2019 (1),,,,,,,,,,,,,,,,,
ANNUAL  VEHICLE - MILES,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"September 30, 2020                                ",,,,,,,,( MILLIONS ),,,,,,,,,TABLE  VM-2
,RURAL,,,,,,,,URBAN,,,,,,,,
,,OTHER,OTHER,,,,,,,OTHER,OTHER,,,,,,
STATE,INTERSTATE,FREEWAYS  AND,PRINCIPAL,MINOR,MAJOR,MINOR,LOCAL,TOTAL,INTERSTATE,FREEWAYS  AND,PRINCIPAL,MINOR,MAJOR,MINOR,LOCAL,TOTAL,TOTAL
,,EXPRESSWAYS,ARTERIAL,ARTERIAL,COLLECTOR,COLLECTOR,,,,EXPRESSWAYS,ARTERIAL,ARTERIAL,COLLECTOR,COLLECTOR,,,
Alabama," 6,644 ", -," 5,698 "," 4,509 "," 4,410 "," 1,390 "," 6,360 "," 29,011 "," 9,354 ", 591 ," 9,805 "," 7,373 "," 4,246 ", 62 ," 11,293 "," 42,723 "," 71,735 "
Alaska, 851 , -, 291 , 123 , 293 , 182 , 850 ," 2,590 ", 790 , -, 932 , 527 , 253 , 119 , 671 ," 3,291 "," 5,881 "
Arizona," 7,158 ", 99 ," 3,715 "," 2,033 "," 1,794 ", 650 ," 1,242 "," 16,690 "," 8,090 "," 8,591 "," 7,737 "," 15,138 "," 5,889 "," 2,886 "," 5,259 "," 53,591 "," 70,281 "
Arkansas," 4,297 ", 320 ," 3,781 "," 2,871 "," 3,674 ", 709 ," 2,292 "," 17,945 "," 5,655 "," 1,012 "," 3,736 "," 4,598 "," 1,936 ", 76 ," 2,141 "," 19,154 "," 37,099 "
California," 17,184 "," 5,977 "," 11,150 "," 8,332 "," 9,485 "," 1,023 "," 3,329 "," 56,480 "," 74,947 "," 61,513 "," 53,258 "," 48,280 "," 24,231 ", 746 ," 21,380 "," 284,356 "," 340,836 "
Colorado," 4,935 ", 282 ," 4,547 "," 2,095 "," 1,925 ", 811 ," 1,622 "," 16,216 "," 9,927 "," 5,757 "," 9,498 "," 6,499 "," 2,847 ", 47 ," 3,842 "," 38,418 "," 54,634 "
Connecticut, 490 , 315 , 438 , 413 , 828 , 146 , 559 ," 3,189 "," 9,806 "," 4,367 "," 3,755 "," 5,151 "," 2,588 ", 241 ," 2,503 "," 28,412 "," 31,601 "
Delaware, -, 375 , 723 , 240 , 585 , 163 , 441 ," 2,527 "," 1,496 ", 762 ," 2,298 "," 1,146 ", 896 , 66 ," 1,054 "," 7,718 "," 10,245 "
District of Columbia, -, -, -, -, -, -, -, -, 521 , 376 ," 1,066 ", 730 , 288 , -, 775 ," 3,756 "," 3,756 "
Florida," 11,166 "," 2,326 "," 8,870 "," 4,063 "," 3,956 "," 1,575 "," 5,575 "," 37,531 "," 31,627 "," 16,421 "," 46,449 "," 30,146 "," 20,706 "," 4,022 "," 39,612 "," 188,983 "," 226,514 "
