FUNCTIONAL  SYSTEM  TRAVEL - 2020 (1),,,,,,,,,,,,,,,,,
ANNUAL  VEHICLE - MILES,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"October 26, 2021                                ",,,,,,,,( MILLIONS ),,,,,,,,,TABLE  VM-2
,RURAL,,,,,,,,URBAN,,,,,,,,
,,OTHER,OTHER,,,,,,,OTHER,OTHER,,,,,,
STATE,INTERSTATE,FREEWAYS  AND,PRINCIPAL,MINOR,MAJOR,MINOR,LOCAL,TOTAL,INTERSTATE,FREEWAYS  AND,PRINCIPAL,MINOR,MAJOR,MINOR,LOCAL,TOTAL,TOTAL
,,EXPRESSWAYS,ARTERIAL,ARTERIAL,COLLECTOR,COLLECTOR,,,,EXPRESSWAYS,ARTERIAL,ARTERIAL,COLLECTOR,COLLECTOR,,,
Alabama," 6,130 ", -," 5,465 "," 4,332 "," 4,316 "," 1,257 "," 6,314 "," 27,814 "," 8,396 ", 549 ," 9,194 "," 7,085 "," 4,139 ", 65 ," 10,679 "," 40,108 "," 67,921 "
Alaska, 742 , -, 250 , 110 , 262 , 241 , 878 ," 2,483 ", 727 , -, 772 , 450 , 220 , 101 , 554 ," 2,823 "," 5,306 "
Arizona," 6,765 ", 100 ," 3,468 "," 1,983 "," 1,649 ", 555 ," 1,248 "," 15,768 "," 7,211 "," 7,624 "," 7,323 "," 14,737 "," 5,391 "," 2,430 "," 5,275 "," 49,990 "," 65,758 "
Arkansas," 3,724 ", 273 ," 3,450 "," 2,618 "," 3,399 ", 660 ," 2,181 "," 16,305 "," 5,289 ", 853 ," 3,316 "," 4,040 "," 1,862 ", 76 ," 2,177 "," 17,614 "," 33,919 "
California," 15,892 "," 5,860 "," 10,847 "," 8,025 "," 9,595 "," 1,175 "," 3,988 "," 55,381 "," 67,393 "," 55,264 "," 47,960 "," 39,016 "," 21,483 ", 126 ," 13,189 "," 244,431 "," 299,812 "
Colorado," 4,514 ", 240 ," 4,317 "," 1,965 "," 1,748 ", 752 ," 1,504 "," 15,040 "," 8,655 "," 4,765 "," 8,353 "," 5,878 "," 2,548 ", 43 ," 3,360 "," 33,602 "," 48,642 "
Connecticut (2), 485 , 316 , 375 , 373 , 741 , 134 , 513 ," 2,936 "," 9,257 "," 4,407 "," 3,439 "," 4,864 "," 2,403 ", 235 ," 2,303 "," 26,908 "," 29,845 "
Delaware, -, 299 , 572 , 191 , 468 , 131 , 360 ," 2,021 "," 1,191 ", 601 ," 1,830 ", 923 , 715 , 53 ," 1,012 "," 6,324 "," 8,345 "
District of Columbia, -, -, -, -, -, -, -, -, 404 , 321 , 779 , 537 , 211 , -, 778 ," 3,030 "," 3,030 "
Florida," 10,223 "," 1,968 "," 8,424 "," 3,924 "," 3,965 "," 1,566 "," 5,172 "," 35,241 "," 28,326 "," 14,462 "," 42,777 "," 27,838 "," 19,154 "," 3,751 "," 36,526 "," 172,835 "," 208,076 "
