FUNCTIONAL  SYSTEM  TRAVEL - 2021 (1),,,,,,,,,,,,,,,,,
ANNUAL  VEHICLE - MILES,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
May-23,,,,,,,,( MILLIONS ),,,,,,,,,TABLE  VM-2
,RURAL,,,,,,,,URBAN,,,,,,,,
,,OTHER,OTHER,,,,,,,OTHER,OTHER,,,,,,
STATE,INTERSTATE,FREEWAYS  AND,PRINCIPAL,MINOR,MAJOR,MINOR,LOCAL,TOTAL,INTERSTATE,FREEWAYS  AND,PRINCIPAL,MINOR,MAJOR,MINOR,LOCAL,TOTAL,TOTAL
,,EXPRESSWAYS,ARTERIAL,ARTERIAL,COLLECTOR,COLLECTOR,,,,EXPRESSWAYS,ARTERIAL,ARTERIAL,COLLECTOR,COLLECTOR,,,
Alabama,"6,779", -,"5,763","4,514","4,447","1,403","6,259","29,164","9,299",524,"9,678","7,328","4,261",97,"11,539","42,728","71,892"
Alaska,851, -,282,121,292,217,919,"2,682",789, -,858,509,239,111,565,"3,070","5,752"
Arizona,"7,706",111,"3,941","2,202","1,769",585,"1,306","17,620","8,311","8,989","7,904","16,107","5,851","2,724","6,255","56,140","73,760"
Arkansas,"5,172",355,"3,902","2,931","3,748",736,"2,415","19,259","5,530","1,015","3,754","4,547","1,987",80,"2,254","19,168","38,427"
California,"17,398","5,695","11,207","8,378","9,834","1,280","4,590","58,381","69,638","57,831","48,942","40,212","21,886",145,"13,788","252,442","310,823"
Colorado,"5,084",272,"4,744","2,161","1,954",836,"1,672","16,723","9,809","5,369","9,068","6,352","2,757",50,"3,712","37,117","53,840"
Connecticut,466,299,377,373,731,133,478,"2,858","9,331","4,103","3,265","4,704","2,274",216,"2,238","26,130","28,989"
Delaware, -,530,804,260,602,183,456,"2,835","1,387",658,"2,201","1,110",844,65,"1,053","7,317","10,152"
District of Columbia, -, -, -, -, -, -, -, -,455,360,847,576,232, -,778,"3,248","3,248"
Florida,"11,494","1,923","9,056","4,111","4,155","1,620","5,381","37,741","30,270","15,123","44,557","28,424","19,410","3,763","38,278","179,826","217,566"
Georgia,"7,917", -,"6,242","5,713","5,091","1,268","4,011","30,241","24,841","3,510","16,802","17,751","6,198",598,"20,744","90,444","120,685"
Hawaii, -, -,304,555,155,35,687,"1,736","1,839",447,"1,944",948,693,265,"2,100","8,236","9,972"
Idaho,"2,990",272,"2,593","1,283","1,602",170,"2,315","11,225","1,810",167,"2,352","1,869",776,5,"1,104","8,084","19,308"
Illinois,"9,587",161,"3,725","4,326","3,803", -, -,"21,602","23,118","1,073","18,386","14,350","7,552",842,"10,607","75,928","97,530"
Indiana,"7,801",908,"5,306","3,124","5,180","1,697","5,091","29,108","10,699","1,427","9,862","7,990","4,092",687,"14,776","49,532","78,640"
Iowa,"5,246", -,"6,301","2,636","3,534",834,"1,403","19,954","3,031", -,"3,949","3,196","1,110",0,"1,799","13,086","33,039"
